title,url,metadesc,norm_summary
Autoimmune Diseases,https://medlineplus.gov/autoimmunediseases.html,"Autoimmune diseases are where your immune system attacks healthy cells in your body by mistake. Learn about the symptoms, tests, and treatments."," Your body's immune system protects you from disease and infection. But if you have an autoimmune disease, your immune system attacks healthy cells in your body by mistake. Autoimmune diseases can affect many parts of the body. No one is sure what causes autoimmune diseases. They do tend to run in families. Women - particularly African American, Hispanic American, and Native American women - have a higher risk for some autoimmune diseases. There are more than 80 types of autoimmune diseases, and some have similar symptoms. This makes it hard for your health care provider to know if you really have one of these diseases, and if so, which one. Getting a diagnosis can be frustrating and stressful. Often, the first symptoms are fatigue, muscle aches and a low fever. The classic sign of an autoimmune disease is inflammation, which can cause redness, heat, pain and swelling. The diseases may also have flare-ups, when they get worse, and remissions, when symptoms get better or disappear. Treatment depends on the disease, but in most cases one important goal is to reduce inflammation. Sometimes doctors prescribe corticosteroids or other drugs that reduce your immune response."
Autonomic Nervous System Disorders,https://medlineplus.gov/autonomicnervoussystemdisorders.html,"Dysautonomia is a disorder of the autonomic nervous system, which controls functions such as breathing and heartbeat. Read more about these disorders."," Your autonomic nervous system is the part of your nervous system that controls involuntary actions, such as the beating of your heart and the widening or narrowing of your blood vessels. When something goes wrong in this system, it can cause serious problems, including Blood pressure problems Heart problems Trouble with breathing and swallowing Erectile dysfunction in men Autonomic nervous system disorders can occur alone or as the result of another disease, such as Parkinson's disease , alcoholism and diabetes. Problems can affect either part of the system, as in complex regional pain syndromes , or all of the system. Some types are temporary, but many worsen over time. When they affect your breathing or heart function, these disorders can be life-threatening. Some autonomic nervous system disorders get better when an underlying disease is treated. Often, however, there is no cure. In that case, the goal of treatment is to improve symptoms. NIH: National Institute of Neurological Disorders and Stroke"
B Vitamins,https://medlineplus.gov/bvitamins.html,Do you get enough B vitamins in your diet? Not enough Vitamin B12 or Vitamin B6 can cause anemia. Find out what B vitamins do for your body. ," The B vitamins are B1 (thiamine) B2 (riboflavin) B3 (niacin) B5 (pantothenic acid) B6 B7 (biotin) B12 Folic acid These vitamins help the process your body uses to get or make energy from the food you eat. They also help form red blood cells. You can get B vitamins from proteins such as fish, poultry, meat, eggs, and dairy products. Leafy green vegetables, beans, and peas also have B vitamins. Many cereals and some breads have added B vitamins. Not getting enough of certain B vitamins can cause diseases. A lack of B12 or B6 can cause anemia ."
Baby Health Checkup,https://medlineplus.gov/babyhealthcheckup.html,You care about your baby's health. Make sure you get regular checkups for your baby. ," There are many new responsibilities when you have a baby. One of them is to make sure they get the checkups that they need. Well-baby exams are important in making sure that your baby is growing and developing properly. If there are problems, you can catch them early. This means that there is a better chance for treatment. During these checkups, your baby will get any needed vaccines and screenings. This is also a good chance to ask your health care provider any questions about how to care for your baby ."
Back Injuries,https://medlineplus.gov/backinjuries.html,"Back injuries can affect your range of motion. Common back injuries include sprains and strains, herniated discs and fractured vertebrae."," Your back is made of bones, muscles, and other tissues extending from your neck to your pelvis. Back injuries can result from sports injuries, work around the house or in the garden, or a sudden jolt such as a car accident. The lower back is the most common site of back injuries and back pain . Common back injuries include Sprains and strains Herniated disks Fractured (broken) vertebrae These injuries can cause pain and limit your movement. Treatments vary but might include medicines, icing, bed rest, physical therapy, or surgery. You might be able to prevent some back injuries by maintaining a healthy weight, lifting objects with your legs, and using lower-back support when you sit."
Back Pain,https://medlineplus.gov/backpain.html,Lumbago is pain on the lower part of your back. Back pain is very common. Treatment varies from medicines to surgery depending on the cause and kind of pain.," If you've ever groaned, ""Oh, my aching back!"", you are not alone. Back pain is one of the most common medical problems, affecting 8 out of 10 people at some point during their lives. Back pain can range from a dull, constant ache to a sudden, sharp pain. Acute back pain comes on suddenly and usually lasts from a few days to a few weeks. Back pain is called chronic if it lasts for more than three months. Most back pain goes away on its own, though it may take awhile. Taking over-the-counter pain relievers and resting can help. However, staying in bed for more than 1 or 2 days can make it worse. If your back pain is severe or doesn't improve after three days, you should call your health care provider. You should also get medical attention if you have back pain following an injury . Treatment for back pain depends on what kind of pain you have, and what is causing it. It may include hot or cold packs, exercise, medicines, injections, complementary treatments, and sometimes surgery. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
Bacterial Infections,https://medlineplus.gov/bacterialinfections.html,There are many types of bacterial infections. Learn about bacterial infections that can make you sick and how to treat them. ," Bacteria are living things that have only one cell. Under a microscope, they look like balls, rods, or spirals. They are so small that a line of 1,000 could fit across a pencil eraser. Most bacteria won't hurt you - less than 1% of the different types make people sick. Many are helpful. Some bacteria help to digest food, destroy disease-causing cells, and give the body needed vitamins. Bacteria are also used in making healthy foods like yogurt and cheese. But infectious bacteria can make you ill. They reproduce quickly in your body. Many give off chemicals called toxins, which can damage tissue and make you sick. Examples of bacteria that cause infections include Streptococcus , Staphylococcus , and E. coli . Antibiotics are the usual treatment. When you take antibiotics, follow the directions carefully. Each time you take antibiotics, you increase the chances that bacteria in your body will learn to resist them causing antibiotic resistance . Later, you could get or spread an infection that those antibiotics cannot cure. NIH: National Institute of Allergy and Infectious Diseases"
Bad Breath,https://medlineplus.gov/badbreath.html,There are many reasons why you might have bad breath (also known as halitosis) including a lack of dental hygiene. Learn about how you can prevent it.," There are many reasons why you might have bad breath. You can get it if you don't brush and floss regularly. Bacteria that build up in your mouth and between your teeth produce the bad odor. Other problems in your mouth, such as gum disease , dry mouth , or cavities , may also cause it. Sinusitis or problems with your nose may be to blame. You can also have bad breath if you eat some foods, like raw onions, garlic, or cabbage. And of course smoking causes its own bad smell. Some diseases and medicines can cause a specific breath odor. Having good dental habits , like brushing and flossing regularly, help fight bad breath. Mouthwashes, mints or chewing gum may make your breath fresher. If you have a disease that causes the bad breath, treating the disease may help give you fresher breath."
Balance Problems,https://medlineplus.gov/balanceproblems.html,"Balance problems can be caused by aging, infections, head injury, medications, and other health problems. "," Have you ever felt dizzy , lightheaded, or as if the room is spinning around you? If the feeling happens often, it could be a sign of a balance problem. Balance problems can make you feel unsteady. You may also have blurred vision, confusion, and disorientation. They are one cause of falls and fall-related injuries, such as a hip fracture (broken hip). Some balance problems are due to problems in the inner ear. Others may involve another part of the body, such as the brain or the heart. Aging, infections, head injury, certain medicines, or problems with blood circulation may also cause balance problems. It is important to see your doctor about balance problems. They can be a sign of other health problems, such as an ear infection or a stroke. Your doctor may send you to a specialist for a diagnosis. You may need a hearing test, blood tests, or imaging studies of your head and brain. Other possible tests look at your eye movements, and how your body responds to movement. In some cases, treating the illness that is causing the disorder will help with the balance problem. Exercises, a change in diet, and some medicines also can help. NIH: National Institute on Deafness and Other Communication Disorders"
Barotrauma,https://medlineplus.gov/barotrauma.html,Changes in barometric or water pressure can cause injury to your body (Barotrauma). An example is how a change in altitude can make your ears hurt. ," Barotrauma means injury to your body because of changes in barometric (air) or water pressure. One common type happens to your ear . A change in altitude may cause your ears to hurt. This can happen if you are flying in an airplane, driving in the mountains, or scuba diving. Divers can also get decompression sickness, which affects the whole body. Common symptoms of ear barotrauma include Pain A feeling that your ears are stuffed Hearing loss Dizziness Treatments for ear barotrauma include chewing gum and yawning to relieve the pressure. Medications such as decongestants may also help."
Bed Bugs,https://medlineplus.gov/bedbugs.html,"Bed bugs - ugh! Also known as bedbugs, these critters bite and can make you itchy. Discover how to get rid of them, how to treat bites, and more."," Bed bugs bite you and feed on your blood. You may have no reaction to the bites, or you may have small marks or itching. Severe allergic reactions are rare. Bed bugs don't transmit or spread diseases. Adult bed bugs are brown, 1/4 to 3/8 inch long, and have a flat, oval-shaped body. Young bed bugs (called nymphs) are smaller and lighter in color. Bed bugs hide in a variety of places around the bed. They might also hide in the seams of chairs and couches, between cushions, and in the folds of curtains. They come out to feed about every five to ten days. But they can survive over a year without feeding. To prevent bed bugs in your home: Check secondhand furniture for any signs of bed bugs before bringing it home Use a protective cover that encases mattresses and box springs. Check it regularly for holes. Reduce clutter in your home so they have fewer places to hide Unpack directly into your washing machine after a trip and check your luggage carefully. When staying in hotels, put your suitcases on luggage racks instead of the floor. Check the mattress and headboard for signs of bed bugs. To get rid of bed bugs: Wash and dry bedding and clothing at high temperatures Use mattress, box spring, and pillow encasements to trap bed bugs and help detect infestations Use pesticides if needed Environmental Protection Agency"
Behcet's Syndrome,https://medlineplus.gov/behcetssyndrome.html,Behcet’s syndrome (or disease) causes inflammation of the blood vessels and symptoms in many parts of the body. Learn about diagnosis and treatment.," Behcet's syndrome is a disease that involves vasculitis , which is inflammation of the blood vessels. It causes problems in many parts of the body. The most common symptoms are Sores in the mouth Sores on the sex organs Other skin sores Swelling of parts of the eye Pain, swelling and stiffness of the joints More serious problems can include meningitis, blood clots, inflammation of the digestive system and blindness. Doctors aren't sure what causes Behcet's. It is rare in the United States, but is common in the Middle East and Asia. It mainly affects people in their 20s and 30s. Diagnosing Behcet's can take a long time, because symptoms may come and go, and it may take months or even years to have all of the symptoms. There is no cure. Treatment focuses on reducing pain and preventing serious problems. Most people can control symptoms with treatment. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
Bell's Palsy,https://medlineplus.gov/bellspalsy.html,Bell's palsy is the most common cause of facial paralysis. Symptoms appear suddenly and can range from mild to severe. Find out if you are at risk. ," Bell's palsy is the most common cause of facial paralysis. It usually affects just one side of the face. Symptoms appear suddenly and are at their worst about 48 hours after they start. They can range from mild to severe and include Twitching Weakness Paralysis Drooping eyelid or corner of mouth Drooling Dry eye or mouth Excessive tearing in the eye Impaired ability to taste Scientists think that a viral infection makes the facial nerve swell or become inflamed. You are most likely to get Bell's palsy if you are pregnant, diabetic or sick with a cold or flu. Three out of four patients improve without treatment. With or without treatment, most people begin to get better within 2 weeks and recover completely within 3 to 6 months. NIH: National Institute of Neurological Disorders and Stroke"
Benefits of Exercise,https://medlineplus.gov/benefitsofexercise.html,"Regular exercise is one of the best things you can do for your health. Learn about all of the benefits, plus tips on adding exercise to your routine."," We have all heard it many times before - regular exercise is good for you, and it can help you lose weight. But if you are like many Americans, you are busy, you have a sedentary job, and you haven't yet changed your exercise habits. The good news is that it's never too late to start. You can start slowly, and find ways to fit more physical activity into your life. To get the most benefit, you should try to get the recommended amount of exercise for your age. If you can do it, the payoff is that you will feel better, help prevent or control many diseases, and likely even live longer. What are the health benefits of exercise? Regular exercise and physical activity may Help you control your weight. Along with diet, exercise plays an important role in controlling your weight and preventing obesity . To maintain your weight, the calories you eat and drink must equal the energy you burn. To lose weight, you must use more calories than you eat and drink. Reduce your risk of heart diseases. Exercise strengthens your heart and improves your circulation. The increased blood flow raises the oxygen levels in your body. This helps lower your risk of heart diseases such as high cholesterol , coronary artery disease , and heart attack . Regular exercise can also lower your blood pressure and triglyceride levels. Help your body manage blood sugar and insulin levels. Exercise can lower your blood sugar level and help your insulin work better. This can cut down your risk for metabolic syndrome and type 2 diabetes . And if you already have one of those diseases, exercise can help you to manage it. Help you quit smoking. Exercise may make it easier to quit smoking by reducing your cravings and withdrawal symptoms. It can also help limit the weight you might gain when you stop smoking. Improve your mental health and mood. During exercise, your body releases chemicals that can improve your mood and make you feel more relaxed. This can help you deal with stress and reduce your risk of depression . Help keep your thinking, learning, and judgment skills sharp as you age. Exercise stimulates your body to release proteins and other chemicals that improve the structure and function of your brain. Strengthen your bones and muscles. Regular exercise can help kids and teens build strong bones. Later in life, it can also slow the loss of bone density that comes with age. Doing muscle-strengthening activities can help you increase or maintain your muscle mass and strength. Reduce your risk of some cancers, including colon , breast , uterine , and lung cancer. Reduce your risk of falls. For older adults, research shows that doing balance and muscle-strengthening activities in addition to moderate-intensity aerobic activity can help reduce your risk of falling. Improve your sleep. Exercise can help you to fall asleep faster and stay asleep longer. Improve your sexual health. Regular exercise may lower the risk of erectile dysfunction (ED) in men. For those who already have ED, exercise may help improve their sexual function. In women, exercise may increase sexual arousal. Increase your chances of living longer. Studies show that physical activity can reduce your risk of dying early from the leading causes of death, like heart disease and some cancers. How can I make exercise a part of my regular routine? Make everyday activities more active. Even small changes can help. You can take the stairs instead of the elevator. Walk down the hall to a coworker's office instead of sending an email. Wash the car yourself. Park further away from your destination. Be active with friends and family. Having a workout partner may make you more likely to enjoy exercise. You can also plan social activities that involve exercise. You might also consider joining an exercise group or class, such as a dance class, hiking club, or volleyball team. Keep track of your progress. Keeping a log of your activity or using a fitness tracker may help you set goals and stay motivated. Make exercise more fun. Try listening to music or watching TV while you exercise. Also, mix things up a little bit - if you stick with just one type of exercise, you might get bored. Try doing a combination of activities. Find activities that you can do even when the weather is bad. You can walk in a mall, climb stairs, or work out in a gym even if the weather stops you from exercising outside."
Benign Tumors,https://medlineplus.gov/benigntumors.html,You may be relieved when your doctor tells you a tumor is benign. But they may need to be removed. Find out more about benign tumors.," Tumors are abnormal growths in your body. They can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. Benign tumors grow only in one place. They cannot spread or invade other parts of your body. Even so, they can be dangerous if they press on vital organs, such as your brain. Tumors are made up of extra cells. Normally, cells grow and divide to form new cells as your body needs them. When cells grow old, they die, and new cells take their place. Sometimes, this process goes wrong. New cells form when your body does not need them, and old cells do not die when they should. These extra cells can divide without stopping and may form tumor. Treatment often involves surgery. Benign tumors usually don't grow back. NIH: National Cancer Institute"
Bereavement,https://medlineplus.gov/bereavement.html,Losing someone you love is difficult. Everyone grieves differently. Get support for bereavement and learn more.  ," Bereavement is the period of grief and mourning after a death. When you grieve, it's part of the normal process of reacting to a loss. You may experience grief as a mental, physical, social or emotional reaction. Mental reactions can include anger, guilt, anxiety, sadness and despair. Physical reactions can include sleeping problems, changes in appetite, physical problems or illness. How long bereavement lasts can depend on how close you were to the person who died, if the person's death was expected and other factors. Friends, family and faith may be sources of support. Grief counseling or grief therapy is also helpful to some people. NIH: National Cancer Institute"
Bile Duct Cancer,https://medlineplus.gov/bileductcancer.html,"Bile duct cancer can be caused by liver diseases or colitis. Learn about bile duct cancer tests, diagnosis, treatment, and survival rates. "," Your liver makes a digestive juice called bile. Your gallbladder stores it between meals. When you eat, your gallbladder pushes the bile into tubes called bile ducts . They carry the bile to your small intestine. The bile helps break down fat. It also helps the liver get rid of toxins and wastes. Bile duct cancer is rare. It can happen in the parts of the bile ducts that are outside or inside the liver. Cancer of the bile duct outside of the liver is much more common. Risk factors include having inflammation of the bile duct, ulcerative colitis , and some liver diseases. Symptoms can include Jaundice Itchy skin Fever Abdominal pain Tests to diagnose bile duct cancer may include a physical exam, imaging tests of the liver and bile ducts, blood tests, and a biopsy. Treatments include surgery, radiation therapy, and chemotherapy. NIH: National Cancer Institute"
Bile Duct Diseases,https://medlineplus.gov/bileductdiseases.html,"Infections, gallstones, and cancer can result in bile duct problems. Discover the types, causes, symptoms, and treatment of bile duct diseases. "," Your liver makes a digestive juice called bile. Your gallbladder stores it between meals. When you eat, your gallbladder pushes the bile into tubes called bile ducts. They carry the bile to your small intestine. The bile helps break down fat. It also helps the liver get rid of toxins and wastes. Different diseases can block the bile ducts and cause a problem with the flow of bile: Gallstones , which can increase pressure in the gallbladder and cause a gallbladder attack. The pain usually lasts from one to several hours. Cancer Infections Birth defects, such as biliary atresia. It is the most common reason for liver transplants in children in the United States. Inflammation, which can cause scarring. Over time, this can lead to liver failure. NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Biodefense and Bioterrorism,https://medlineplus.gov/biodefenseandbioterrorism.html,Learn about and prepare for bioterrorism.  Biodefense  includes vaccines and other methods to protect against bioterrorism. ," A bioterrorism attack is the deliberate release of viruses, bacteria, or other germs to cause illness or death. These germs are often found in nature. But they can sometimes be made more harmful by increasing their ability to cause disease, spread, or resist medical treatment. Biological agents spread through the air, water, or in food. Some can also spread from person to person. They can be very hard to detect. They don't cause illness for several hours or days. Scientists worry that anthrax , botulism , Ebola and other hemorrhagic fever viruses, plague , or smallpox could be used as biological agents. Biodefense uses medical measures to protect people against bioterrorism. This includes medicines and vaccinations. It also includes medical research and preparations to defend against bioterrorist attacks. Centers for Disease Control and Prevention"
Biopsy,https://medlineplus.gov/biopsy.html,"If your doctor suspects you may have cancer or another disease, she may order a biopsy for you. Learn about the types of biopsies and more."," A biopsy is a procedure that removes cells or tissue from your body. A doctor called a pathologist looks at the cells or tissue under a microscope to check for damage or disease. The pathologist may also do other tests on it. Biopsies can be done on all parts of the body. In most cases, a biopsy is the only test that can tell for sure if a suspicious area is cancer. But biopsies are performed for many other reasons too. There are different types of biopsies. A needle biopsy removes tissue with a needle passed through your skin to the site of the problem. Other kinds of biopsies may require surgery."
Bipolar Disorder,https://medlineplus.gov/bipolardisorder.html,"Bipolar disorder is a mood disorder that can cause intense mood swings. It's also called manic depression. Learn about the types, symptoms, treatment, and more."," What is bipolar disorder? Bipolar disorder is a mood disorder that can cause intense mood swings: Sometimes you may feel extremely ""up,"" elated, irritable, or energized. This is called a manic episode . Other times you may feel ""down,"" sad, indifferent, or hopeless. This is called a depressive episode . You may have both manic and depressive symptoms together. This is called a mixed episode . Along with the mood swings, bipolar disorder causes changes in behavior, energy levels, and activity levels. Bipolar disorder used to be called other names, including manic depression and manic-depressive disorder. What are the types of bipolar disorder? There are three main types of bipolar disorder: Bipolar I disorder involves manic episodes that last at least 7 days or manic symptoms so severe that you need immediate hospital care. Depressive episodes are also common. Those often last at least two weeks. This type of bipolar disorder can also involve mixed episodes. Bipolar II disorder involves depressive episodes. But instead of full-blown manic episodes, there are episodes of hypomania. Hypomania is a less severe version of mania. Cyclothymic disorder , or cyclothymia, also involves hypomanic and depressive symptoms. But they are not as intense or as long-lasting as hypomanic or depressive episodes. The symptoms usually last for at least two years in adults and for one year in children and teenagers. With any of these types, having four or more episodes of mania or depression in a year is called ""rapid cycling."" What causes bipolar disorder? The exact cause of bipolar disorder is unknown. Several factors likely play a role in the disorder. They include genetics , brain structure and function, and your environment. Who is at risk for bipolar disorder? You are at higher risk for bipolar disorder if you have a close relative who has it. Going through trauma or stressful life events may raise this risk even more. What are the symptoms of bipolar disorder? The symptoms of bipolar disorder can vary. But they involve mood swings known as mood episodes: The symptoms of a manic episode can include Feeling very up, high, or elated Feeling jumpy or wired, more active than usual Having a very short temper or seeming extremely irritable Having racing thoughts and talking very fast Needing less sleep Feeling like you are unusually important, talented, or powerful Do risky things that show poor judgment, such as eating and drinking too much, spending or giving away a lot of money, or having reckless sex The symptoms of a depressive episode can include Feeling very sad, hopeless, or worthless Feeling lonely or isolating yourself from others Talking very slowly, feeling like you have nothing to say, or forgetting a lot Having little energy Sleeping too much Eating too much or too little Lack of interest in your usual activities and being unable to do even simple things Thinking about death or suicide The symptoms of a mixed episode include both manic and depressive symptoms together. For example, you may feel very sad, empty, or hopeless, while at the same time feeling extremely energized. Some people with bipolar disorder may have milder symptoms. For example, you may have hypomania instead of mania. With hypomania, you may feel very good and find that you can get a lot done. You may not feel like anything is wrong. But your family and friends may notice your mood swings and changes in activity levels. They may realize that your behavior is unusual for you. After the hypomania, you might have severe depression. Your mood episodes may last a week or two or sometimes longer. During an episode, symptoms usually occur every day for most of the day. How is bipolar disorder diagnosed? To diagnose bipolar disorder, your health care provider may use many tools: A physical exam A medical history, which will include asking about your symptoms, lifetime history, experiences, and family history Medical tests to rule out other conditions A mental health evaluation. Your provider may do the evaluation or may refer you to a mental health specialist to get one. What are the treatments for bipolar disorder? Treatment can help many people, including those with the most severe forms of bipolar disorder. The main treatments for bipolar disorder include medicines, psychotherapy, or both: Medicines can help control the symptoms of bipolar disorder. You may need to try several different medicines to find which one works best for you. Some people need to take more than one medicine. It's important to take your medicine consistently. Don't stop taking it without first talking with your provider. Contact your provider if you have any concerns about side effects from the medicines. Psychotherapy (talk therapy) can help you recognize and change troubling emotions, thoughts, and behaviors. It can give you and your family support, education, skills, and coping strategies. There are several different types of psychotherapy that may help with bipolar disorder. Other treatment options include Electroconvulsive therapy (ECT), a brain stimulation procedure that can help relieve symptoms. ECT is most often used for severe bipolar disorder that is not getting better with other treatments. It may also be used when someone needs a treatment that will work more quickly than medicines. This might be when a person has a high risk of suicide or is catatonic (unresponsive). Getting regular aerobic exercise may help with depression , anxiety , and trouble sleeping Keeping a life chart can help you and your provider track and treat your bipolar disorder. A life chart is a record of your daily mood symptoms, treatments, sleep patterns, and life events. Bipolar disorder is a lifelong illness. But long-term, ongoing treatment can help manage your symptoms and enable you to live a healthy, successful life. NIH: National Institute of Mental Health"
Bird Flu,https://medlineplus.gov/birdflu.html,"The bird flu (also known as influenza A or the avian flu) primarily infects birds, but can pose health risks to people. Learn how to avoid this flu."," Birds, just like people, get the flu. Bird flu viruses infect birds, including chickens, other poultry, and wild birds such as ducks. Usually bird flu viruses only infect other birds. It is rare for people to get infected with bird flu viruses, but it can happen. Two types, H5N1 and H7N9, have infected some people during outbreaks in Asia, Africa, the Pacific, the Middle East, and parts of Europe. There have also been some rare cases of other types of bird flu affecting people in the United States. Most of the people who get bird flu have had close contact with infected birds or with surfaces that have been contaminated by the birds' saliva, mucous, or droppings. It is also possible to get it by breathing in droplets or dust that contain the virus. Rarely, the virus has spread from one person to another. It may also be possible to catch bird flu by eating poultry or eggs that are not well cooked. Bird flu illness in people can range from mild to severe. Often, the symptoms are similar to the seasonal flu , such as Fever Cough Sore throat Runny or stuffy nose Muscle or body aches Fatigue Headaches Eye redness (or conjunctivitis ) Difficulty breathing In some cases, bird flu can cause serious complications and death. As with seasonal flu, some people are at higher risk for serious illness. They include pregnant women, people with weakened immune systems, and adults 65 and older. Treatment with antiviral medicines may make the illness less severe. They may also help prevent the flu in people who were exposed to it. There is currently no vaccine available to the public. The government does have a supply of a vaccine for one type of H5N1 bird flu virus and could distribute it if there was an outbreak that spread easily from person to person. Centers for Disease Control and Prevention"
Birth Control,https://medlineplus.gov/birthcontrol.html,"Birth control, or contraception, is designed to prevent pregnancy. Read about the different options, and their risks and benefits."," Birth control, also known as contraception, is designed to prevent pregnancy. Birth control methods may work in a number of different ways: Preventing sperm from getting to the eggs. Types include condoms, diaphragms, cervical caps, and contraceptive sponges. Keeping the woman's ovaries from releasing eggs that could be fertilized. Types include birth control pills, patches, shots, vaginal rings, and emergency contraceptive pills. IUDs, devices which are implanted into the uterus. They can be kept in place for several years. Sterilization, which permanently prevents a woman from getting pregnant or a man from being able to get a woman pregnant Your choice of birth control should depend on several factors. These include your health, frequency of sexual activity, number of sexual partners and desire to have children in the future. Your health care provider can help you select the best form of birth control for you. NIH: National Institute of Child Health and Human Development"
Birth Defects,https://medlineplus.gov/birthdefects.html,"A birth defect is a problem that happens while a baby is developing in the mother's body.  Learn about the different types of birth defects, their treatments, and how some kinds can be prevented."," What are birth defects? A birth defect is a problem that happens while a baby is developing in the mother's body. Most birth defects happen during the first 3 months of pregnancy. One out of every 33 babies in the United States is born with a birth defect. A birth defect may affect how the body looks, works, or both. Some birth defects like cleft lip or neural tube defects are structural problems that can be easy to see. Others, like heart disease , are found using special tests. Birth defects can range from mild to severe. How a birth defect affects a child's life depends mostly on which organ or body part is involved and how severe the defect is. What causes birth defects? For some birth defects, researchers know the cause. But for many birth defects, the exact cause is unknown. Researchers think that most birth defects are caused by a complex mix of factors, which can include Genetics. One or more genes might have a change or mutation that prevents them from working properly. For example, this happens in Fragile X syndrome . With some defects, a gene or part of the gene might be missing. Chromosomal problems. In some cases, a chromosome or part of a chromosome might be missing. This is what happens in Turner syndrome . In other cases, such as with Down syndrome , the child has an extra chromosome. Exposures to medicines , chemicals, or other toxic substances . For example, alcohol misuse can cause fetal alcohol spectrum disorders . Infections during pregnancy . For example, infection with Zika virus during pregnancy can cause a serious defect in the brain . Lack of certain nutrients. Not getting enough folic acid before and during pregnancy is a key factor in causing neural tube defects. Who is at risk of having a baby with birth defects? Certain factors may might increase the chances of having a baby with a birth defect, such as Smoking, drinking alcohol, or taking certain ""street"" drugs during pregnancy Having certain medical conditions, such as obesity or uncontrolled diabetes , before and during pregnancy Taking certain medicines Having someone in your family with a birth defect. To learn more about your risk of having a baby with a birth defect, you can talk with a genetic counselor , Being an older mother, typically over the age of 34 years How are birth defects diagnosed? Health care providers can diagnose some birth defects during pregnancy, using prenatal testing . That's why it important to get regular prenatal care . Other birth defects may not be found until after the baby is born. Providers may find them through newborn screening . Some defects, such as club foot, are obvious right away. Other times, the health care provider may not discover a defect until later in life, when the child has symptoms. What are the treatments for birth defects? Children with birth defects often need special care and treatments. Because the symptoms and problems caused by birth defects vary, the treatments also vary. Possible treatments may include surgery, medicines, assistive devices , physical therapy, and speech therapy. Often, children with birth defects need a variety of services and may need to see several specialists. The primary health care provider can coordinate the special care that the child needs. Can birth defects be prevented? Not all birth defects can be prevented. But there are things you can do before and during pregnancy to increase your chance of having a healthy baby: Start prenatal care as soon as you think you might be pregnant, and see your health care provider regularly during pregnancy Get 400 micrograms (mcg) of folic acid every day. If possible, you should start taking it at least one month before you get pregnant. Don't drink alcohol, smoke, or use ""street"" drugs Talk to your health care provider about any medicines you are taking or thinking about taking. This includes prescription and over-the-counter medicines, as well as dietary or herbal supplements. Learn how to prevent infections during pregnancy If you have any medical conditions, try to get them under control before you get pregnant Centers for Disease Control and Prevention"
Birth Weight,https://medlineplus.gov/birthweight.html,Newborn babies vary in birth weight and size. Some low birth babies may have health issues. Get the facts on your baby's birth weight.," Birth weight is the first weight of your baby, taken just after he or she is born. A low birth weight is less than 5.5 pounds. A high birth weight is more than 8.8 pounds. A low birth weight baby can be born too small, too early ( premature ), or both. This can happen for many different reasons. They include health problems in the mother , genetic factors, problems with the placenta, and drug use by the mother . Some low birth weight babies may be more at risk for certain health problems. Some may become sick in the first days of life or develop infections. Others may suffer from longer-term problems such as delayed motor and social development or learning disabilities. High birth weight babies are often big because the parents are big, or the mother has diabetes during pregnancy. These babies may be at a higher risk of birth injuries and problems with blood sugar. Centers for Disease Control and Prevention"
Birthmarks,https://medlineplus.gov/birthmarks.html,"Birthmarks can be two main types: vascular, such as hemangiomas and port wine stains or pigmented, such as a mole or Mongolian spot. Find out more."," Birthmarks are abnormalities of the skin that are present when a baby is born. There are two types of birthmarks. Vascular birthmarks are made up of blood vessels that haven't formed correctly. They are usually red. Two types of vascular birthmarks are hemangiomas and port-wine stains. Pigmented birthmarks are made of a cluster of pigment cells which cause color in skin. They can be many different colors, from tan to brown, gray to black, or even blue. Moles can be birthmarks. No one knows what causes many types of birthmarks, but some run in families. Your baby's doctor will look at the birthmark to see if it needs any treatment or if it should be watched. Pigmented birthmarks aren't usually treated, except for moles. Treatment for vascular birthmarks includes laser surgery. Most birthmarks are not serious, and some go away on their own. Some stay the same or get worse as you get older. Usually birthmarks are only a concern for your appearance. But certain types can increase your risk of skin cancer. If your birthmark bleeds, hurts, itches, or becomes infected, call your health care provider."
Black and African American Health,https://medlineplus.gov/blackandafricanamericanhealth.html,Black and African American health disparities and access to healthcare are among the issues concerning the health of Blacks and African Americans. Learn more.," Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from Genetics Environmental factors Access to care Cultural factors On this page, you'll find links to health issues that affect Black and African Americans."
Bladder Cancer,https://medlineplus.gov/bladdercancer.html,Bladder cancer symptoms range from lower back pain to blood in your urine. Read about important risk factors and find a list of treatments available," The bladder is a hollow organ in your lower abdomen that stores urine. Bladder cancer occurs in the lining of the bladder. It is the sixth most common type of cancer in the United States. Symptoms include Blood in your urine A frequent urge to urinate Pain when you urinate Low back pain Risk factors for developing bladder cancer include smoking and exposure to certain chemicals in the workplace. People with a family history of bladder cancer or who are older, white, or male have a higher risk. Treatments for bladder cancer include surgery, radiation therapy, chemotherapy, and biologic therapy. Biologic therapy boosts your body's own ability to fight cancer. NIH: National Cancer Institute"
