     subject  timepoint event    region    signal
735       s5          7   cue  parietal -0.042349
736       s4          7   cue  parietal -0.108222
737       s3          7   cue  parietal  0.041475
738       s2          7   cue  parietal -0.078112
739       s1          7   cue  parietal  0.065644
740       s0          7   cue  parietal  0.025389
741      s13          6   cue  parietal  0.057222
742      s12          6   cue  parietal  0.014915
743      s11          6   cue  parietal  0.053989
744      s10          6   cue  parietal  0.006208
745       s9          6   cue  parietal  0.017309
746       s8          6   cue  parietal  0.035340
747       s7          6   cue  parietal  0.023385
748       s6          6   cue  parietal  0.020649
749       s5          6   cue  parietal -0.009097
750       s4          6   cue  parietal  0.049384
751       s3          6   cue  parietal  0.085000
752       s2          6   cue  parietal -0.046841
753       s1          6   cue  parietal  0.181533
754       s8          7   cue  parietal  0.005262
755       s0          6   cue  parietal  0.063799
756       s9          7   cue  parietal -0.023482
757      s11          7   cue  parietal  0.036892
758       s4          9   cue  parietal -0.149299
759       s3          9   cue  parietal -0.065935
760       s2          9   cue  parietal -0.053903
761       s1          9   cue  parietal -0.152929
762       s0          9   cue  parietal -0.020044
763       s7          7   cue  parietal  0.030375
764       s5          2   cue  parietal  0.025403
765      s10         14   cue   frontal  0.007167
766       s4          2   cue  parietal  0.021762
767       s8         14   cue   frontal  0.021794
768       s7         14   cue   frontal -0.019831
769       s6         14   cue   frontal -0.020815
770      s13         15   cue   frontal -0.003053
771       s3          2   cue  parietal -0.013869
772       s0         16   cue   frontal -0.017192
773       s2         16   cue   frontal  0.014510
774       s9         17   cue   frontal -0.004900
775       s8         17   cue   frontal  0.013762
776       s7         17   cue   frontal -0.044474
777       s6         17   cue   frontal  0.020415
778       s5         17   cue   frontal  0.005884
779       s4         17   cue   frontal -0.044786
780       s3         17   cue   frontal -0.014138
781       s2         17   cue   frontal  0.010319
782       s1         17   cue   frontal -0.000439
783       s0         17   cue   frontal -0.010375
784      s13         16   cue   frontal -0.002522
785      s12         16   cue   frontal -0.001723
786      s11         16   cue   frontal  0.057105
787      s10         16   cue   frontal  0.010163
788       s9         16   cue   frontal -0.004290
789       s8         16   cue   frontal  0.016332
790       s7         16   cue   frontal -0.039687
791       s6         16   cue   frontal  0.031507
792       s5         16   cue   frontal -0.010068
793       s4         16   cue   frontal -0.040862
794       s3         16   cue   frontal -0.016807
795       s1         16   cue   frontal  0.004579
796       s8          0   cue   frontal  0.010417
797       s7         12   cue  parietal -0.020127
798       s6          0   cue   frontal  0.018653
799      s13         17   cue  parietal -0.017293
800      s12         18   cue  parietal -0.011434
801      s11         18   cue  parietal  0.043195
802      s10         18   cue  parietal -0.043577
803       s9         18   cue  parietal -0.051040
804       s8         18   cue  parietal -0.017097
805       s7         18   cue  parietal -0.013381
806       s6         18   cue  parietal  0.019532
807       s5         18   cue  parietal  0.037161
808       s4         18   cue  parietal -0.052736
809       s3         18   cue  parietal -0.039710
810       s2         18   cue  parietal  0.017805
811       s1         18   cue  parietal -0.026370
812       s0         18   cue  parietal -0.014664
813       s6         14   cue  parietal -0.014262
814      s11         17   cue  parietal  0.031867
815      s13         18   cue  parietal -0.020816
816      s10         17   cue  parietal -0.031247
817       s9         17   cue  parietal -0.036362
818       s8         17   cue  parietal -0.005919
819       s7         17   cue  parietal -0.026435
820       s6         17   cue  parietal  0.027970
821       s5         17   cue  parietal  0.025827
822       s4         17   cue  parietal -0.037395
823       s3         17   cue  parietal -0.039589
824       s2         17   cue  parietal  0.017803
825       s1         17   cue  parietal -0.010481
826       s0         17   cue  parietal -0.025896
827      s13         16   cue  parietal -0.009379
828      s12         16   cue  parietal -0.022735
829      s12         17   cue  parietal -0.015378
830       s7          9   cue  parietal -0.000159
831      s11         16   cue  parietal  0.029307
832      s10         16   cue  parietal -0.016982
833       s9         16   cue  parietal -0.035395
834       s6         16   cue  parietal  0.020626
835       s5         16   cue  parietal  0.016005
836       s4         16   cue  parietal -0.020759
837       s3         16   cue  parietal -0.041899
838       s2         16   cue  parietal  0.024931
839       s1         16   cue  parietal -0.000349
840       s0         16   cue  parietal -0.026122
841      s13         15   cue  parietal -0.001390
842      s12         15   cue  parietal -0.024801
843      s11         15   cue  parietal  0.037435
844      s10         15   cue  parietal -0.008887
845       s9         15   cue  parietal -0.038257
846       s8         15   cue  parietal  0.003590
847       s7         15   cue  parietal -0.013839
848       s6         15   cue  parietal  0.006441
849       s5         15   cue  parietal  0.007885
850       s4         15   cue  parietal -0.012295
851       s3         15   cue  parietal -0.042253
852       s2         15   cue  parietal  0.031595
853       s1         15   cue  parietal  0.003238
854       s0         15   cue  parietal -0.025614
855      s13         14   cue  parietal -0.003714
856      s12         14   cue  parietal -0.021824
857      s11         14   cue  parietal  0.041342
858      s10         14   cue  parietal -0.010761
859       s9         14   cue  parietal -0.034386
860       s8         14   cue  parietal -0.007202
861       s7         14   cue  parietal -0.008655
862       s8         16   cue  parietal  0.000848
863       s5         14   cue  parietal  0.004816
864       s3         14   cue  parietal -0.048376
865       s5          0   cue   frontal -0.027033
866       s2         13   cue  parietal  0.039476
867      s13         11   cue  parietal -0.050695
868       s1         14   cue  parietal -0.019020
869       s0         14   cue  parietal -0.031080
870      s13         13   cue  parietal -0.009112
871      s12         13   cue  parietal -0.020109
872      s11         13   cue  parietal  0.028161
873      s10         13   cue  parietal -0.021587
874       s9         13   cue  parietal -0.016970
875       s8         13   cue  parietal -0.026405
876       s7         13   cue  parietal -0.014084
877       s6         13   cue  parietal -0.030561
878       s5         13   cue  parietal -0.006507
879       s4         13   cue  parietal -0.010613
880       s3         13   cue  parietal -0.063705
881       s2         14   cue  parietal  0.035840
882      s10         11   cue  parietal -0.045460
883       s0         13   cue  parietal -0.035780
884       s1         12   cue  parietal -0.103785
885       s2         12   cue  parietal  0.030923
886       s3         12   cue  parietal -0.081460
887       s4         12   cue  parietal -0.007092
888       s1         13   cue  parietal -0.052710
889       s6         12   cue  parietal -0.042589
890       s5         12   cue  parietal -0.022033
891       s8         12   cue  parietal -0.042112
892       s9         12   cue  parietal -0.004044
893      s10         12   cue  parietal -0.030997
894      s11         12   cue  parietal -0.002377
895      s12         12   cue  parietal -0.017830
896      s13         12   cue  parietal -0.025716
897       s0         12   cue  parietal -0.036943
898      s12         10   cue  parietal -0.017928
899      s12         11   cue  parietal -0.018536
900       s9         10   cue  parietal -0.013538
901       s9         11   cue  parietal -0.004141
902       s8         11   cue  parietal -0.045939
903       s7         11   cue  parietal -0.020266
904       s6         11   cue  parietal -0.051604
905       s5         11   cue  parietal -0.039027
906       s4         11   cue  parietal -0.019012
907       s3         11   cue  parietal -0.094231
908       s2         11   cue  parietal  0.009137
909       s1         11   cue  parietal -0.149785
910       s0         11   cue  parietal -0.039002
911      s13         10   cue  parietal -0.073328
912       s4         14   cue  parietal -0.011868
913      s11         10   cue  parietal -0.042917
914      s11         11   cue  parietal -0.034447
915      s10         10   cue  parietal -0.056047
916       s8         10   cue  parietal -0.045906
917       s7         10   cue  parietal -0.014283
918       s6         10   cue  parietal -0.063755
919       s5         10   cue  parietal -0.049765
920       s4         10   cue  parietal -0.068971
921       s3         10   cue  parietal -0.091749
922       s2         10   cue  parietal -0.022062
923       s1         10   cue  parietal -0.176453
924       s0         10   cue  parietal -0.032699
925      s13          9   cue  parietal -0.075079
926      s12          9   cue  parietal -0.017397
927      s11          9   cue  parietal -0.026744
928      s10          9   cue  parietal -0.067725
929       s9          9   cue  parietal -0.029546
930       s7         16   cue  parietal -0.024589
931       s8          9   cue  parietal -0.039664
932       s0          0   cue   frontal  0.007766
933       s3         11   cue   frontal -0.088991
934       s3         12   cue   frontal -0.070714
935       s2         12   cue   frontal  0.042363
936       s1         12   cue   frontal  0.012255
937       s0         12   cue   frontal -0.007125
938      s13         11   cue   frontal -0.040369
939      s12         11   cue   frontal -0.006349
940      s11         11   cue   frontal  0.030528
941      s10         11   cue   frontal -0.001503
942       s9         11   cue   frontal  0.020380
943       s8         11   cue   frontal -0.014830
944       s7         11   cue   frontal -0.005114
945       s6         11   cue   frontal -0.052012
946       s5         11   cue   frontal -0.023329
947       s4         11   cue   frontal -0.024693
948       s2         11   cue   frontal  0.022680
949       s6          9   cue  parietal -0.069248
950       s1         11   cue   frontal -0.032770
951       s0         11   cue   frontal  0.007460
952      s13         10   cue   frontal -0.066287
953      s12         10   cue   frontal -0.009354
954       s5         12   cue   frontal -0.018146
955      s11         10   cue   frontal -0.004138
956       s6         12   cue   frontal -0.043700
957       s8         12   cue   frontal -0.007431
958       s1         14   cue   frontal  0.020242
959       s0         14   cue   frontal -0.024076
960      s13         13   cue   frontal -0.009388
961      s12         13   cue   frontal -0.004450
962      s11         13   cue   frontal  0.059510
963      s10         13   cue   frontal  0.004400
964       s4         12   cue   frontal -0.016984
965       s3          7   cue   frontal  0.026668
966       s1          7   cue   frontal -0.053825
967       s5          9   cue  parietal -0.056757
968       s4          0   cue   frontal -0.039116
969       s3          0   cue   frontal -0.000546
970       s2          0   cue   frontal  0.007802
971       s9          1   cue   frontal  0.005342
972       s7          3   cue   frontal -0.039686
973      s10          1   cue   frontal -0.022527
974      s12          1   cue   frontal -0.007171
975       s5          3   cue   frontal  0.025693
976       s4          3   cue   frontal  0.118515
977       s3          3   cue   frontal  0.019946
978       s2          3   cue   frontal  0.009915
979       s1          3   cue   frontal  0.037750
980       s0          3   cue   frontal  0.047859
981      s13          2   cue   frontal  0.004396
982      s12          2   cue   frontal -0.007507
983      s11          2   cue   frontal -0.056768
984      s10          2   cue   frontal -0.019877
985       s9          2   cue   frontal  0.027964
986       s8          2   cue   frontal -0.012496
987       s7          2   cue   frontal -0.043014
988       s6          2   cue   frontal  0.009211
989       s5          2   cue   frontal  0.002121
990       s4          2   cue   frontal  0.018850
991       s3          2   cue   frontal  0.002453
992       s2          2   cue   frontal -0.009048
993       s1          2   cue   frontal -0.027066
994       s0          2   cue   frontal  0.024296
995      s13          1   cue   frontal -0.010346
996      s11          1   cue   frontal -0.058814
997       s9         13   cue   frontal  0.020074
998       s8         13   cue   frontal  0.008419
999       s7         13   cue   frontal -0.017513
1000      s8          7   cue   frontal  0.019028
1001      s6          7   cue   frontal -0.042295
1002      s5          7   cue   frontal -0.014400
1003      s4          7   cue   frontal -0.086786
1004     s11          8   cue   frontal -0.044925
1005      s9         10   cue   frontal  0.010463
1006     s12          8   cue   frontal -0.003195
1007      s0          9   cue   frontal  0.010027
1008      s7         10   cue   frontal  0.005585
1009      s6         10   cue   frontal -0.064226
1010      s5         10   cue   frontal -0.025539
1011      s4         10   cue   frontal -0.066593
1012      s3         10   cue   frontal -0.093257
1013      s2         10   cue   frontal -0.003771
1014      s1         10   cue   frontal -0.097984
1015      s0         10   cue   frontal  0.010984
1016     s13          9   cue   frontal -0.082955
1017     s12          9   cue   frontal -0.007656
1018     s11          9   cue   frontal -0.036140
1019     s10          9   cue   frontal -0.039303
1020      s9          9   cue   frontal -0.003133
1021      s8          9   cue   frontal -0.005735
1022      s7          9   cue   frontal  0.014399
1023      s6          9   cue   frontal -0.070898
1024      s5          9   cue   frontal -0.028837
1025      s4          9   cue   frontal -0.136592
1026      s3          9   cue   frontal -0.077533
1027      s2          9   cue   frontal -0.037689
1028      s1          9   cue   frontal -0.146048
1029     s13          8   cue   frontal -0.070991
1030      s7          7   cue   frontal  0.008844
1031      s9          7   cue   frontal  0.003643
1032      s6         13   cue   frontal -0.037652
1033     s10          7   cue   frontal -0.047084
1034      s5         13   cue   frontal -0.014985
1035      s4         13   cue   frontal -0.021514
1036      s3         13   cue   frontal -0.047639
1037      s2         13   cue   frontal  0.047918
1038      s1         13   cue   frontal  0.028379
1039      s0         13   cue   frontal -0.021729
1040     s13         12   cue   frontal -0.020686
1041     s12         12   cue   frontal -0.003034
1042     s11         12   cue   frontal  0.055766
1043     s10         12   cue   frontal  0.005711
1044      s9         12   cue   frontal  0.024292
1045      s7         12   cue   frontal -0.014005
1046      s2          7   cue   frontal -0.078363
1047     s10         10   cue   frontal -0.016124
1048      s8         10   cue   frontal -0.015141
1049     s10          8   cue   frontal -0.052505
1050      s9          8   cue   frontal -0.008729
1051      s8          8   cue   frontal  0.007278
1052      s7          8   cue   frontal  0.015765
1053      s6          8   cue   frontal -0.063961
1054      s5          8   cue   frontal -0.028292
1055      s4          8   cue   frontal -0.160821
1056      s3          8   cue   frontal -0.033848
1057      s2          8   cue   frontal -0.069666
1058      s1          8   cue   frontal -0.136059
1059      s0          8   cue   frontal  0.018165
1060     s13          7   cue   frontal -0.029130
1061     s12          7   cue   frontal -0.004939
1062     s11          7   cue   frontal -0.025367
1063      s0          0   cue  parietal -0.006899
