text,category
"a) Subject to the terms of this Section 6, Landlord shall pay to Tenant an amount up to Fourteen Million Two Hundred Six Thousand Six Hundred and 00/100 Dollars ($14,206,600.00) (the “Construction Allowance”) for the costs that Tenant incurs in performing the Tenant’s Work; provided, however, Tenant shall have no right hereunder to apply more than $25.00 per square foot of Net Rentable Area of the Construction Allowance towards the costs incurred by Tenant in purchasing task seating, office furniture, workstations and other typical office furniture in connection with Tenant’s Work (the “Furniture”).",ti-allowance
"Tenant shall be entitled to a one-time tenant improvement allowance (the ""TI ALLOWANCE"") in the amount of [*] for the costs relating to the initial design and construction of Tenant's improvements that are permanently affixed to the Premises (the ""TENANT IMPROVEMENTS""). In no event shall Landlord be obligated to make disbursements pursuant to this Work Letter in a total amount which exceeds the TI Allowance. Tenant shall not be entitled to any credit for any unused portion of the TI Allowance. The parties hereto agree that, in the event the number of rentable square feet of the Premises is adjusted from 31,228 pursuant to Section 2.1 of the Lease, the TI Allowance shall be reduced or increased (as the case may be) by the product of (a) Twenty-Eight Dollars ($28.00) and (b) the difference between such adjusted number of rentable square feet in the Premises and 31,228 (and in the event of such increase or reduction, the parties shall promptly execute an amendment to the Lease reflecting such adjusted TI Allowance amount).",ti-allowance
"Landlord shall contribute up to, $22,539.00, (7,513 sf x $3.00) towards Tenant Improvements which shall be mutually acceptable between Landlord and Tenant. All other terms and conditions of this Lease remain in full force and effect. If any inconsistencies in the terms and conditions arise between the Lease and Lease Amendment Two, the terms and conditions of Lease Amendment Two shall prevail.",ti-allowance
"tenant-improvement-allowance-items (a) Landlord shall provide to Tenant a construction allowance (the “Suite 180 Allowance”) not exceeding $110,554.40 (namely, $13.60 per square foot on 8,129 sq. ft.) for office finish-out within Suite 180. The Suite 180 Allowance shall be used for (i) construction costs under the construction contract and subcontracts, (ii) a construction management fee of 3% of Total Suite 180 Construction Costs to be paid to Landlord (and which shall be deducted by Landlord from the Suite 180 Allowance), and (iii) the cost of the Suite 180 Drawings and the construction documents, including any third party fees incurred by Landlord to pay for review of the Suite 180 Drawings by Landlord’s consultants, including the Building’s mechanical and electrical engineers. The Suite 180 Allowance may not be used for the purchase of furniture, trade fixtures, equipment or inventory or for move-in costs, or for the payment of data/telecommunication cabling installation costs which shall be Tenant’s responsibility. Landlord agrees that a sum of up to 3% of hard costs may be deducted from any remaining Suite 180 Allowance towards payment of Tenant’s construction manager’s fee.",ti-allowance
"Construction of the Tenant Improvements Tenant shall receive a Tenant Improvement Allowance as shown on Exhibit ""C"" attached.",ti-allowance
"Tenant has requested, and Landlord has agreed, to increase the TI Allowance by an additional Forty-Six Million Seventy-Five Thousand Dollars ($46,075,000.00) (the “Additional TI Allowance”). Accordingly, the first sentence of Section 5.1 of the Existing Lease is hereby amended and restated in its entirety as follows: ""Tenant shall cause appropriate improvements consistent with the Permitted Use (the ""Tenant Improvements"") to be constructed in the Premises pursuant to the Work Letter attached hereto as Exhibit E (the ""Work Letter"") at a cost to Landlord not to exceed Forty- Nine Million Four Hundred Thirty-Five Thousand Dollars ($49,435,000.00) (the ""TI Allowance"")."" In addition, the second sentence of Section 5.1 of the Existing Lease is hereby amended and restated in its entirety as follow: ""The TI Allowance may be applied to the costs of (a) construction, (b) project review by Landlord (which fee shall not exceed Twenty Thousand Dollars ($20,000.00) plus any reasonable actual out-of-pocket third-party expenses incurred by Landlord), (c) commissioning of mechanical, electrical and plumbing systems by a licensed, qualified commissioning agent hired by Tenant, and review of such party’s commissioning report licensed, qualified commissioning agent hired by Landlord, (d) space planning, architect, engineering and other related services performed by third parties unaffiliated with Tenant,",ti-allowance
"construction-allowance Landlord shall provide to Tenant a tenant improvement allowance (the “TI Allowance”) of $179.00 per rentable square foot of the Premises, or $8,301,304.00 in the aggregate. The TI Allowance shall be disbursed in accordance with this Work Letter. A portion of the TI Allowance, up to $45.00 per rentable square foot of the Premises, or $2,086,920 in the aggregate (“Base Building Allowance”), shall be used only for TI Costs attributable to the Base Building Work. The balance of the TI Allowance in the amount of $134.00 per rentable square foot of the Premises, or $6,214,384 in the aggregate (“Premises Allowance”) shall be used only for TI Costs attributable to the Tenant Improvements. In no event shall less than $120 per rentable square foot of the Premises Allowance be used for TI Costs attributable to the Tenant Improvements. In addition to the TI Allowance, Landlord shall reimburse Tenant up to $0.10 per usable square foot of the Premises for actual costs incurred by Tenant for the preparation by Tenant’s consultants of a fit-plan and preliminary design work for the Tenant Improvements. Tenant shall have no right to the use or benefit (including any reduction to or payment of Base Rent) of any portion of the TI Allowance not required for the construction of (i) the Base Building Work, (ii) the Tenant Improvements described in the TI Construction Drawings approved pursuant to Section 2(d) or (iii) any Changes pursuant to Section 4. Notwithstanding the foregoing, if following the completion and payment in full of the Tenant Improvements it is determined that the TI Costs for the Tenant Improvements were less than the Premises Allowance, initial Base Rent shall be reduced by applying a 7.5% interest rate and amortizing the amount of the unused Premises Allowance over a 7 year period (for example, if $100,000 of the Premises Allowance remains unused following the completion of the Landlord’s Work and the payment of all TI Costs, the annual Base Rent for the first year of the Base Term would be reduced by $0.40 per rentable square foot of the Premises from $48.00 per rentable square foot of the Premises per annum to $47.60 per rentable square foot of the Premises per annum).",ti-allowance
"Tenant has requested, and Landlord has agreed, to increase the TI Allowance by an additional Forty-Six Million Seventy-Five Thousand Dollars ($46,075,000.00) (the “Additional TI Allowance”). Accordingly, the first sentence of Section 5.1 of the Existing Lease is hereby amended and restated in its entirety as follows: ""Tenant shall cause appropriate improvements consistent with the Permitted Use (the ""Tenant Improvements"") to be constructed in the Premises pursuant to the Work Letter attached hereto as Exhibit E (the ""Work Letter"") at a cost to Landlord not to exceed Forty- ​ Nine Million Four Hundred Thirty-Five Thousand Dollars ($49,435,000.00) (the ""TI Allowance"")."" In addition, the second sentence of Section 5.1 of the Existing Lease is hereby amended and restated in its entirety as follow: ""The TI Allowance may be applied to the costs of (a) construction, (b) project review by Landlord (which fee shall not exceed Twenty Thousand Dollars ($20,000.00) plus any reasonable actual out-of-pocket third-party expenses incurred by Landlord), (c) commissioning of mechanical, electrical and plumbing systems by a licensed, qualified commissioning agent hired by Tenant, and review of such party’s commissioning report licensed, qualified commissioning agent hired by Landlord, (d) space planning, architect, engineering and other related services performed by third parties unaffiliated with Tenant, (e) building permits and other taxes, fees, charges and levies by governmental authorities for permits or for inspections of the Tenant Improvements, and (f) costs and expenses for labor, material, equipment and fixtures."" In addition, the final sentence of Section 5.2 of the Existing Lease is hereby deleted in its entirety and replaced with the following: ""In addition, Landlord’s obligation to disburse any of the TI Allowance in excess of Forty-Eight Million Nine Hundred Thirty-Five Thousand Dollars ($48,935,000.00) shall be conditional upon the satisfaction of the following: (a) Tenant's delivery to Landlord of a certificate of occupancy for the Premises suitable for the Permitted Use, as applicable; (b) Tenant's delivery to Landlord of a Certificate of Substantial Completion in the form of the American Institute of Architects document G704, executed by the project architect and the general contractor or such other form or certification as may be reasonably acceptable to Landlord; (c) Tenant's satisfaction of the conditions precedent to funding of the TI Allowance set forth in Section 6.3 of the Work Letter; and (d) there shall be no uncured event of default by Tenant under this Lease. Following the completion of the Tenant Improvements, Landlord may order, at Tenant’s expense, a current title report or lien search for the Premises to confirm that the Premises remains free and clear of all liens relating to the completion of the Tenant Improvements. Tenant agrees to promptly pay or reimburse Landlord for the costs relating to such title report or lien search upon receipt of an invoice from Landlord."" 5. Section 18.2.6: Tenant Insurance. Section 18.2 of the Existing Lease is hereby amended to add the following new ""At all times during construction Tenant shall maintain (or cause to be maintained, as applicable) in full force and effect an “all risk” builder’s risk completed value form, which form shall: (a) be on a non-reporting basis, (b) insure against all risks insured including, without limitation, fire and other perils normally included, including at Landlord’s option, terrorism, windstorm, earthquake and flood coverage, (c) for structural or non-structural renovation, cover 100% of any existing Building, (d) include permission to occupy the Premises, without restrictions, as appropriate, (d) have an agreed amount endorsement waiving co-insurance provisions, (e) include coverage for 100% of the reoccurring hard costs and soft costs, (f) cover losses suffered with respect to Tenant’s materials, equipment, machinery and/or supplies (whether on-site, in transit, or stored off-site) with a limit of no less than 100% of the replacement cost, (g) provide for no deductible in excess of $250,000, except with respect to earthquake, windstorm/named storm, and flood; and (h) otherwise be in form and substance reasonably acceptable to Landlord. Notwithstanding 2 ​",ti-allowance
"In consideration of the foregoing, the parties agree that the TI Allowance provided by Landlord for the construction of the Tenant Improvements within the Premises pursuant to Section 5.1 of the Lease shall be increased by the sum of One Million Nine Hundred Thousand Dollars ($1,900,000.00), resulting in a TI Allowance not to exceed Five Million Nine Hundred Thousand Dollars ($5,900,000.00). Tenant hereby requests disbursement of the TI Allowance in the full amount of Five Million Nine Hundred Thousand Dollars ($5,900,000.00), and the parties shall exercise commercially reasonable efforts to provide and review the deliverables required under the Lease for the disbursement of the TI Allowance to allow Landlord to release the TI Allowance to Tenant by October 2, 2017.",ti-allowance
"Improvement Allowance Tenant shall be entitled to a one-time tenant improvement allowance (the ""TI Allowance"") in the amount of Thirty Dollars ($30.00) per rentable square foot of the Expansion Space for the costs relating to the initial design and construction of Tenant's improvements that are permanently affixed to the Expansion Space (the ""Tenant Improvements""). In no event shall Landlord be obligated to make disbursements pursuant to this Work Letter in a total amount which exceeds the TI Allowance. Provided the Tenant Improvements are constructed and are consistent with the improvements in the Existing Premises, Tenant shall be entitled to a credit against Base Rent first payable for the Expansion Space in an amount equal to any unused portion of the TI Allowance.",ti-allowance
Disbursement of Tenant Improvement Allowance $35/RSF based on the TSA Space in its “as is” condition except as indicated on the “Preparation of Premises” schedule attached as Exhibit A.,ti-allowance
"The TI Allowance shall be disbursed in accordance with this Work Letter and, if Tenant elects to construct additional Tenant Improvements which are to be paid for out of the TI Allowance, pursuant to a new Work Letter consistent with the terms and conditions set forth in this Work Letter. Tenant shall have no right to the use or benefit (including any reduction to Base Rent) of any portion of the TI Allowance not required for the construction of (i) the Tenant Improvements described in the TI Construction Drawings approved pursuant to Section 2(d) or (ii) any Changes pursuant to Section 4.",ti-allowance
"Tenant Allowance During the initial Lease Term, Landlord shall pay to Tenant in accordance with this Section 8.6 an amount not to exceed the amount of $5,000.00 (the “Tenant Improvement Allowance”), provided as of the date on which Landlord is required to make any payment or credit thereof, (i) this Lease is in full force and effect, and (ii) no default under this Lease shall have occurred and be continuing. The Tenant Improvement Allowance shall be payable on account of (i) costs of labor directly related to, and materials delivered to the Premises in connection with, any Alterations performed by Tenant during the initial Lease Term, and (ii) costs, incurred by Tenant during the initial Lease Term, of furniture and equipment (inclusive of wiring and white boards) acquired for use in the Premises. Tenant shall not be entitled to receive any portion of the Tenant Improvement Allowance not actually expended by Tenant pursuant to the immediately preceding sentence. Upon the occurrence of the date that is the day following the expiration of Lease Month 62, any amount of the Tenant Improvement Allowance that has not been previously disbursed shall be retained by Landlord. Landlord shall make payments, from time to time but not more frequently than once per month, of any applicable portion of the Tenant Improvement Allowance to Tenant within thirty (30) days after submission by Tenant to Landlord of a written requisition therefor, signed by the chief financial officer of Tenant and accompanied by (A) copies of paid invoices covering Tenant’s performance of all Alterations theretofore approved by Landlord in accordance with this Article 8 or copies of paid invoices for any costs described in item (ii) above, (B) a written certification from Tenant’s architect stating that all Alterations described on such invoices (if applicable) have been completed in accordance with the final plans therefor, that such work has been paid in full by Tenant and that all contractors, subcontractors and material suppliers have delivered to Tenant final, unconditional waivers and releases of lien with respect to such work (copies of which shall be included with such architect’s certification), (C) proof of the satisfactory completion of all required inspections and the issuance of any required approvals and sign-offs by all governmental bodies having jurisdiction over the Building with respect to any Alterations performed by Tenant, (D) final “as-built” plans and specifications for any Alterations performed by Tenant, and (E) such other documents and information as Landlord may reasonably request. Tenant shall pay all costs of Alterations in excess of the Tenant Improvement Allowance.",ti-allowance
"boot-allowance The costs of Landlord’s Work shall include all hard and soft costs related to construction of Tenant Improvements within the Additional Space, including a construction management fee to Landlord or its affiliate of 5% of all other costs. Landlord shall pay such costs of such Landlord’s Work up to $20.00 per rentable square foot of the Additional Space (the “TI Allowance”).",ti-allowance
"Tenant Improvement Allowance Within ninety (90) days after the later of ------------------ execution of this Sixth Amendment to Lease or receipt of a building permit, Landlord will build and complete, at its expense, a covered canopy over the outdoor patio located adjacent to Tenant's lunchroom area which shall be to the reasonable satisfaction of Tenant.",ti-allowance
"Meal Allowance The costs of Landlord’s Work shall include all hard and soft costs related to construction of Tenant Improvements within the Additional Space, including a construction management fee to Landlord or its affiliate of 5% of all other costs. Landlord shall pay such costs of such Landlord’s Work up to $20.00 per rentable square foot of the Additional Space (the “TI Allowance”).",ti-allowance
"Tenant Improvement Allowance Items Landlord shall provide to Tenant a construction allowance not to exceed $60,000.00 (the “Construction Allowance”) to be applied toward the Total Construction Costs, as adjusted for any changes to the 15285 Work approved by Landlord and",ti-allowance
"Section 4(a) of the Lease is hereby amended by deleting the phrase ""up to a maximum increase of $180 per square foot of Rentable Area of the Premises,"" replacing the figure $4,700,000 with the figure $4,950,000, deleting the phrase ""and not to exceed a TI Allowance of $3,500,000 for Phase I of the Premises"" from the first sentence thereof and deleting the last row of the chart set forth therein and adding the following rows to such chart: TI Allowance Increase in Base Rent Initial Base Rent ------------ --------------------- ----------------- $205.00 $1.40 $37.30/RSF Each $10 thereafter $1.40 The entire $4,950,000 TI Allowance may be drawn down by Tenant in connection with Phase I and the entire $75,000 Administrative Rent described in Section 5.1 of the Work Letter shall be paid in connection with Tenant's Work for Phase I. Any portion of the TI Allowance not used by Tenant in connection with Phase I may be drawn down by Tenant in connection with Phase II and there shall be no Administrative Rent charged by Landlord in connection with Tenant's Work for Phase II.",ti-allowance
"Tenant’s Improvement Allowance as set forth in the Basic Lease Information shall be amended to $720,995.00 based on a calculation of $55.00 per rentable square foot. Tenant may aggregate the allowance and it may be applied to the costs of improvements to both Suite 1010 and Suite 1060.",ti-allowance
"The definition of “TI Allowance” in Exhibit B of the Lease is hereby deleted and the following is substituted in lieu thereof: “TI Allowance shall mean a tenant improvement allowance in the amount shown in the Final Budget to be provided by Landlord and to be used exclusively for payment of Tenant Improvement Costs, the cost of Tenant’s Extra Work or as provided in Section 4.01.”",ti-allowance
"meal-allowance Tenant shall be entitled to a one-time tenant improvement allowance (the ""TI Allowance"") in the amount of Thirty Dollars ($30.00) per rentable square foot of the Expansion Space for the costs relating to the initial design and construction of Tenant's improvements that are permanently affixed to the Expansion Space (the ""Tenant Improvements""). In no event shall Landlord be obligated to make disbursements pursuant to this Work Letter in a total amount which exceeds the TI Allowance. Provided the Tenant Improvements are constructed and are consistent with the improvements in the Existing Premises, Tenant shall be entitled to a credit against Base Rent first payable for the Expansion Space in an amount equal to any unused portion of the TI Allowance.",ti-allowance
"ti-allowance 68 76 Provided Tenant is not in default under the terms of this lease, Landlord shall provide Tenant with a Construction Allowance equal to [***] to construct Tenant's Work (as described in Exhibit C attached hereto) in the Demised Premises, but such Construction Allowance paid by Landlord to Tenant shall in no event exceed [***] per square foot of floor area within the Demised Premises. The Construction Allowance shall be paid as follows:",ti-allowance
"Tenant Improvement Allowance Up to $3,386,610.00 (See Exhibit B)",ti-allowance
"construction-of-the-tenant-improvements Pursuant to the Second Amendment, Lessor made available to Lessee an Improvement Allowance of Five Million Dollars ($5,000,000). Pursuant to the Third Amendment, Lessor made an additional Improvement Allowance of Five Million Dollars ($5,000,000) available to Lessee. Lessor hereby makes available to Lessee an additional improvement allowance equal to Five Million Dollars ($5,000,000) to be used for certain capital improvements to the Facilities. Such additional improvement allowance shall be used only for completion of capital improvements to the Facilities which shall be approved and constructed in accordance with the terms and provisions of Paragraph 2 of the Second Amendment. The term “Capital Improvements” as and where used in Paragraph 2 of the Second Amendment shall be deemed to include such capital improvements. The additional improvement allowance shall be requested and disbursed in accordance with the provisions of Paragraph 3 of the Second Amendment. The term “Improvement Allowance”, as and where used in Paragraph 3 of the Second Amendment, shall be deemed to include and refer to the additional improvement allowance provided for in this paragraph, except that such additional improvement allowance shall be available for Capital Improvements completed on or before December 31, 2010 and the final request for disbursement shall be no later than March 31, 2011. The annual Base Rent payable under the Existing Master Lease shall be increased by the Improvement Allowance Adjustment Amount for each disbursement of such additional improvement allowance as provided in Paragraph 4 of the Second Amendment. In the event Lessor fails to pay Lessee any installment request for the additional improvement allowance as provided in Paragraph 3 of the Second Amendment, Lessee shall have the rights and remedies provided in Paragraph 4 of the Second Amendment and the provisions of Paragraph 4 of the Second Amendment shall apply to Lessee’s exercise of such rights and remedies.",ti-allowance
"The first sentence of Section 5(b) of the Work Letter attached to the Lease as Exhibit C is here by deleted in its entirety and replaced with the following: “Landlord shall provide to Tenant a tenant improvement allowance (the “TI Allowance”) of $180 per rentable square foot of the Premises, or $2,950,740 in the aggregate.”",ti-allowance
"Tenant shall cause to be constructed tenant improvements in the Premises (the “Tenant Improvements”) pursuant to the “Work Letter” attached as Exhibit G at a cost to Landlord (the “Base TI Allowance”) not to exceed: (a) One Hundred Dollars ($100.00) per rentable square foot for the New Premises; and (b) Twenty-Five Dollars ($25.00) per rentable square foot for the Retained Premises, and, subject to the provisions of the last paragraph in this Section 5.5, for the Retained Premises and/or the New Premises, as applicable. Such amounts shall be applied to pay only the costs of the following (except as otherwise expressly provided in this Lease): (a) construction; (b) construction management by Landlord (which fee shall equal two and one-half percent (2.5%) of the cost of the Tenant Improvements) (the “Construction Management Fee”); (c) space planning, architectural, engineering, and other related services; and (d) building permits and other planning and inspection fees. For purposes of this Lease, Tenant’s cost of any Tenant Improvement shall include only items constituting “costs of improvement” within the meaning of the New York Lien Law, except that, with Landlord’s reasonable approval, notwithstanding anything to the contrary in the preceding clauses “a” through “d,” up to twenty-five percent (25%) of the Base TI Allowance may cover other costs (the “Soft Costs”) directly related to the Tenant Improvements, such as space design, planning and relocation costs, legal costs related to this Lease and the Tenant Improvements, and network cabling (the balance of which seventy-five percent (75%) of the Base TI Allowance is hereafter referred to as the “Hard Costs”). In addition to the Base TI Allowance, Landlord shall make available to Tenant an additional Base TI Allowance only for the New Premises (the “Above-Standard TI Allowance”) in an amount of One Hundred and Forty-Five Dollars ($145.00) per rentable square foot. The Base TI Allowance and the Above-Standard TI Allowance are together referred to as the “TI Allowance.”",ti-allowance
"Tenant Improvement Allowance Tenant hereby waives any rights or claims that Tenant may have relating to any construction allowance contained in the Lease including, without limitation, those allowances contained in the First, Fourth and Fifth Amendments.",ti-allowance
"Landlord agrees to provide architecture permit drawings, engineer permit drawings and require electrical drawings as needed to provide electrical service to Tenant’s modular furniture and to have the work described in Exhibit “B” complete which work shall include installation of standard grade office carpet, painting, ceiling modification and fire sprinkler installation. Tenant shall reimburse Landlord for actual cost of the following:",ti-allowance
"Landlord and Tenant acknowledge that the Base Annual Rent (as set forth in paragraph 4 below) has been computed based on Landlord’s allowance of $15.00 per square foot of Rentable Area in the Second Expansion Premises (the “Allowance”) toward the cost of the leasehold improvements to the Second Expansion Premises, as more specifically described on Rider 1 attached hereto.",ti-allowance
"The Premises shall continue to be occupied in an “as-is” condition, except Landlord shall provide tenant with a Tenant Improvement Allowance in the amount of $164,655 ($15 per rentable square foot) of which up to $92,000 may be used for tenant furnishings (modular furniture etc.). Landlord shall reimburse Tenant within 30 days of receipt of copies of Tenant’s paid invoices.",ti-allowance
The product of $26.00 multiplied by the rentable square footage of the Premises.,ti-allowance
1.1 Interior Partition (@ Suspended Ceilings).,ti-allowance
"tenant-allowance Landlord will provide $100,000.00 towards buildout and Tenant will pay the additional $70,000.00.",ti-allowance
"Thirteen Million Nine Hundred Fifty Three Thousand Six Hundred Sixty and 00/100 Dollars ($13,953,660.00), being Seventy and 00/100 Dollars ($70.00) per rentable square foot of the Premises, subject to the terms of the Tenant Improvement Agreement.",ti-allowance
"Provided there shall not be existing a default by Tenant under the provisions of the Lease, Landlord agrees to provide up to, but not in excess of Nine Thousand Fourteen and No/100 Dollars ($9,014.00) (the ""Tenant Improvement Allowance""), which is calculated at $2.00 per square foot of the net rentable area of the Premises. Tenant shall have up to twelve (12) months after the Commencement Date to use the Tenant Improvement Allowance.",ti-allowance
"Landlord will tender and Tenant agrees to accept the Leased Premises in an ""as-is"" condition; however, Landlord will contribute the sum of One Million Five Thousand Four Hundred Eighty and 00/100 Dollars ($1,005,480.00 [$18.00 per square foot of Rentable Area]) [the ""Construction Allowance""] towards the cost of furnishing and installing permanent leasehold improvements in the Leased Premises in accordance with this Construction Agreement. Payments shall be made directly to Landlord's contractor performing the Work. Tenant acknowledges and agrees that a portion of the Base Rental constitutes repayment of the foregoing allowance, which has been given to Tenant as partial consideration for Tenant's execution and performance of the Twenty-Eighth Amendment.",ti-allowance
"Disbursement of the Tenant Improvement Allowance Subject to the terms and conditions set forth in the Lease, Landlord has agreed to increase the TI Allowance available to Tenant by Eighteen Million Dollars ($18,000,000.00) (the “Additional TI Allowance”) for the construction of a new greenhouse and additional improvements to the existing Building. Accordingly, the first sentence of Section 5.1 of the Existing Lease is hereby amended and restated in its entirety as follows: “Tenant shall cause appropriate improvements consistent with the Permitted Use (the “Tenant Improvements”) to be constructed in the Premises pursuant to the Work Letter attached hereto as Exhibit E (the “Work Letter”) at a cost to Landlord not to exceed Thirty-Two Million Dollars ($32,000,000.00) (the “TI Allowance”).” In addition, the second sentence of Section 5.2 of the Existing Lease is hereby amended and restated in its entirety as follows:",ti-allowance
"Landlord shall provide Tenant the Tenant Improvement Allowance for performance of the Tenant’s Work. The Tenant Improvement Allowance LEASE AGREEMENT F-4 granted by Landlord may be used interchangeably at Tenant’s option for construction of the Demised Premises, including but not limited to:",ti-allowance
"Meal Allowance Tenant shall be entitled to a one-time tenant improvement allowance (the ""TI Allowance"") in the amount of Thirty Dollars ($30.00) per rentable square foot of the Expansion Space for the costs relating to the initial design and construction of Tenant's improvements that are permanently affixed to the Expansion Space (the ""Tenant Improvements""). In no event shall Landlord be obligated to make disbursements pursuant to this Work Letter in a total amount which exceeds the TI Allowance. Provided the Tenant Improvements are constructed and are consistent with the improvements in the Existing Premises, Tenant shall be entitled to a credit against Base Rent first payable for the Expansion Space in an amount equal to any unused portion of the TI Allowance.",ti-allowance
"<strong>Tenant Improvement</strong> Plans Landlord agrees to allow Tenant a ""Construction ------------------- Allowance"" of up to $10.00 P.S.F. or $45,500.00 to be applied toward the remodel or retrofit of ""Expansion Space #2"" (Suite #815 containing 4,550 S.F.) in accordance with the attached Exhibit ""B"" of this Third Amendment of Lease. The aforementioned Construction Allowance shall not be applied toward Tenants furniture, fixtures or equipment. Tenant agrees to lease ""Expansion Space #3"" (Suite #829 containing 6,043 S.F.) in the ""as-is"" condition. Tenant also agrees to extend the term of the ""Original Leased Premises"" (Suite #821, containing 8,037 S.F.) and ""Expansion Space #1 (Suite #825 containing 1,936 S.F.) in the ""as-is"" condition.",ti-allowance
Up to $2 per square foot.,ti-allowance
"The Construction Allowance under Paragraph 6 of the Work Letter Agreement is increased to Three Million Four Hundred Ten Thousand, Five Hundred Fifteen Dollars ($3,410,515.00).",ti-allowance
tenant-improvements Allowance: Shall be Zero Dollars ($0.00) per square foot of Useable Space as set forth in Section 3.2.,ti-allowance
"(a) In the manner provided in this Section 3, Landlord shall pay to Tenant a “Construction Allowance” of up to One Million Thirty-Six Thousand Three Hundred Twenty Dollars ($1,036,320.00) (based on $40.00 per rentable square foot and the Premises containing 25,908 rentable square feet), but not exceeding the actual cost of Tenant’s Work. The Construction Allowance may be used only for the cost of preparing design and construction documents and mechanical and electrical plans for Tenant’s Work and for the hard costs of Tenant’s Work. In no event shall the Construction Allowance be used for the purchase of equipment, furniture or other items of personal properly of Tenant.",ti-allowance
"Meal Allowance Landlord shall provide to Tenant a tenant improvement allowance (""TI Allowance"") of $400,000. The TI Allowance shall be disbursed in accordance with this Work Letter.",ti-allowance
"Allowance: Per the terms of the Master Lease, the Landlord agrees to deliver the expansion of Suite 110 in the same condition as the original premises. Lease Proposal July 21, 2006 For Suite 101, the Landlord agrees to provide a Tenant Improvement Allowance equal to $20.00/USF ($25 x 1,961 = $49,025.00). Cancellation of Termination Right: Tenant agrees to cancel any termination right as outlined in existing master lease. Access: Shall be 24 hours / 7 days. Parking: The Tenant shall have the right to increase their parking allocation by up to six (6) unreserved parking stalls at the then current rate for the building.",ti-allowance
"Landlord agrees to furnish Tenant a Tenant Improvement Allowance of $3.00 per occupied rentable square foot. Should Tenant occupy any available space in the Building with less than forty-eight (48) months of Term remaining, the Tenant Improvement Allowance shall be prorated to reflect the shortened term.",ti-allowance
"Tenant’s Work Landlord shall paint and recarpet said space prior to occupancy. Colors to be neutral and to be agreed upon by Landlord and Tenant. Painting shall include all cabinets and wood walls. Landlord shall provide best efforts to complete space by June 15, 1998. In the event of a delay, occupancy shall be adjusted accordingly. If to Landlord: If to Tenant: STACXX XXXPERTIES ENMAX CORP. 5114 XXXXXX XXXXX XXXXX 370 S. 500 X. XXXXX 000 XXX XXXXX, XX. 00000 CLEARFIELD, UTAH",ti-allowance
Tenant hereby acknowledges and agrees that Tenant has no further right to use any portion of the TI Allowance in excess of the Applied TI Allowance.,ti-allowance
"Improvement Allowance Subject to the terms and provisions of this Work Letter, Landlord shall pay the cost of the Tenant Improvements (""Work"") up to the amount the Landlord's Construction Allowance, and subject to the terms of Addendum if properly requested by Tenant, the Additional TI Allowance. If the amount of the lowest qualified bid to perform the Work exceeds the Landlord's Construction Allowance and the Additional TI Allowance (if so requested by Tenant in accordance with the terms of Addendum Four), Tenant shall bear the cost of such excess and shall pay the estimated cost of such excess to Landlord prior to commencement of construction of such Tenant Improvements and a final adjusting payment based upon the actual costs of the Tenant Improvements shall be made when the Tenant Improvements are completed. If the cost of the Work is less than such amount, then Tenant shall not receive any credit whatsoever for the difference between the actual cost of the Work and Landlord's Construction Allowance. All remaining amounts due to Landlord shall be paid upon the earlier of Substantial Completion of the Tenant Improvements or presentation of a written statement of the sums due, which statement may be an estimate of the cost of any component of the Work. The cost of the permits, hard construction costs, fees, permits and general contract overhead shall be payable out of the Landlord's Construction Allowance and shall be included in the cost of the Work. The cost of the asbestos testing, architecture, and engineering fees shall be paid for by Landlord, and shall not be included in the cost of the Work. The cost of the Work shall not include any other fees payable to Landlord.",ti-allowance
