,pubmed_id,abstract,pubdate,title,fulljournalname
162,PMC8354491,"Periodontal disease, a chronic inflammation induced by bacteria, is closely linked with diabetes mellitus. Many complications associated with diabetes are related to epigenetic changes. However, the exact epigenetic changes whereby diabetes affects periodontal disease remain largely unknown. Thus, we sought to investigate the role of diabetes‐dependent epigenetic changes of gingival tissue in the susceptibility to periodontal disease.
We studied the effect of streptozotocin‐induced diabetes in minipigs on gingival morphological and epigenetic tissue changes. Accordingly, we randomly divided six minipigs into two groups: streptozotocin‐induced diabetes group, n = 3; and non‐diabetes healthy control group, n = 3. After 85 days, all animals were killed, and gingival tissue was collected for histology, deoxyribonucleic acid methylation analysis and immunohistochemistry.
A diabetes mellitus model was successfully created, as evidenced by significantly increased blood glucose levels, reduction of pancreatic insulin‐producing β‐cells and histopathological changes in the kidneys. The gingival tissues in the diabetes group presented acanthosis of both gingival squamous epithelium and sulcular/junctional epithelium, and a significant reduction in the number and length of rete pegs. Deoxyribonucleic acid methylation analysis showed a total of 1,163 affected genes, of which 599 and 564 were significantly hypermethylated and hypomethylated, respectively. Immunohistochemistry staining showed that the hypomethylated genes – tumor necrosis factor‐α and interleukin‐6 – were positively expressed under the junctional epithelium area in the diabetes group.
Diabetes mellitus induces morphological and epigenetic changes in periodontal tissue, which might contribute to the increased susceptibility of periodontal diseases in patients with diabetes.
This is the first study investigating the effect of diabetes on periodontal tissue from an epigenetic perspective. Using a streptozotocin‐induced diabetes model in pigs, we showed that induction of diabetes results in significant changes in the methylation status of multiple genes in gingival tissue.",2021 Jan 26,Epigenetic changes caused by diabetes and their potential role in the development of periodontitis,Journal of Diabetes Investigation
163,PMC5009144,"To explore the association between atrial fibrillation (AF) and diabetes mellitus in a general Chinese population, and the influence of hypertension.
From January 2013 to August 2013, we carried out a cross‐sectional study involving 11,956 permanent residents aged ≥35 years from the general population in the Liaoning province of China (response rate 85.3%). Each participant completed a questionnaire, had a physical examination, and underwent an electrocardiogram and echocardiogram. AF was diagnosed on the basis of the electrocardiogram findings. Logistic regression analyses were carried out to estimate the associations between diabetes mellitus and AF. The associations were also analyzed in hypertensive and normotensive subgroups.
There was a higher prevalence of AF in participants with diabetes mellitus than those without diabetes mellitus (1.2 vs 0.5%; P = 0.004). In the hypertensive subgroup, the prevalence of AF in participants with diabetes mellitus was significantly higher than in participants without diabetes mellitus (1.5 vs 0.6%; P = 0.008); however, the prevalences were similar in the normotensive subgroup (0.3 vs 0.4%; P = 1.000). Similar trends were present in both men and women. After adjustment for cardiovascular risk factors, the independent association between diabetes mellitus and AF remained in the total sample (odds ratio 2.33, 95% confidence interval 1.20–4.54) and hypertensive subgroup (odds ratio 3.15, 95% confidence interval 1.52–6.56), but not in the normotensive subgroup (odds ratio 0.64, 95% confidence interval 0.08–5.31).
Diabetes mellitus is an independent risk factor for AF in the general population in China, this association was present in total and hypertensive participants, but not in normotensive participants.",2016 Feb 21,Diabetes mellitus is an independent risk factor for atrial fibrillation in a general Chinese population,Journal of Diabetes Investigation
164,PMC7078094,"Pharmacological levels of glucagon‐like peptide‐1 (GLP‐1) can decelerate gastric emptying (GE) and reduce postprandial glucose levels. Most previous studies have used liquid meals to evaluate GE. We evaluated the effects of GLP‐1 receptor agonists (GLP‐1 RAs) on GE and postprandial glucose excursion in Japanese type 2 diabetes mellitus patients using a combination of solid and liquid meals.
In this single‐center, prospective, open‐label study, nine healthy individuals and 17 patients with type 2 diabetes mellitus consumed a 460‐kcal combination of a solid and liquid meal labeled with 13C‐acetic acid. GE was measured from t = 0 to 150 min in a continuous 13C breath test. Eight participants with type 2 diabetes mellitus were administered GLP‐1 RAs, and we examined the relationship between GE and blood glucose excursion.
There were no differences in the average GE coefficient (GEC) and lag time between the healthy and type 2 diabetes mellitus groups. However, the type 2 diabetes mellitus group showed larger GEC variations (P < 0.05). The coefficient of variation of R‐R intervals was a significant predictor of GEC in type 2 diabetes mellitus patients (P < 0.01). The short‐acting GLP‐1 RA reduced the GEC at 1 month (P = 0.012), whereas the long‐acting GLP‐1 RA did not significantly change the GEC after treatment. A positive relationship was observed between postprandial glucose excursion from T 0 min to T 60 min and the GEC (r 2 = 0.75; P < 0.01).
The reduction in GE rate by the administration of GLP‐1 RAs can predict the improvement in postprandial glucose excursion in type 2 diabetes mellitus patients. 
The purpose of this research was to evaluate the effect of glucagon‐like peptide‐1 receptor agonists on gastric emptying and postprandial glucose excursion in Japanese patients with type 2 diabetes mellitus using both liquid and solid meals. We revealed that the reduction in gastric emptying by the administration of glucagon‐like peptide‐1 receptor agonists can predict the improvement in postprandial glucose excursion in type 2 diabetes mellitus patients, using a combination of liquid and solid meals, and a continuous 13C breath test.",2019 Jul 25,Magnitude of slowing gastric emptying by glucagon‐like peptide‐1 receptor agonists determines the amelioration of postprandial glucose excursion in Japanese patients with type 2 diabetes,Journal of Diabetes Investigation
165,PMC6755825,"Diabetes mellitus frequently coexists with heart failure (HF), but few studies have compared the associations between diabetes mellitus and cardiac remodeling, quality of life, and clinical outcomes, according to HF phenotype.
We compared echocardiographic parameters, quality of life (assessed by the Kansas City Cardiomyopathy Questionnaire), and outcomes (1‐year all‐cause mortality, cardiovascular mortality, and HF hospitalization) between HF patients with and without type 2 diabetes mellitus in the prospective ASIAN‐HF (Asian Sudden Cardiac Death in Heart Failure) Registry, as well as community‐based controls without HF. Adjusted Cox proportional hazards models were used to assess the association of diabetes mellitus with clinical outcomes. Among 5028 patients with HF and reduced ejection fraction (HFrEF; EF <40%) and 1139 patients with HF and preserved EF (HFpEF; EF ≥50%), the prevalences of type 2 diabetes mellitus were 40.2% and 45.0%, respectively (P=0.003). In both HFrEF and HFpEF cohorts, diabetes mellitus (versus no diabetes mellitus) was associated with smaller indexed left ventricular diastolic volumes and higher mitral E/e′ ratio. There was a predominance of eccentric hypertrophy in HFrEF and concentric hypertrophy in HFpEF. Patients with diabetes mellitus had lower Kansas City Cardiomyopathy Questionnaire scores in both HFpEF and HFrEF, with more prominent differences in HFpEF (P interaction<0.05). In both HFpEF and HFrEF, patients with diabetes mellitus had more HF rehospitalizations (adjusted hazard ratio, 1.27; 95% CI, 1.05–1.54; P=0.014) and higher 1‐year rates of the composite of all‐cause mortality/HF hospitalization (adjusted hazard ratio, 1.22; 95% CI, 1.05–1.41; P=0.011), with no differences between HF phenotypes (P interaction>0.05).
In HFpEF and HFrEF, type 2 diabetes mellitus is associated with smaller left ventricular volumes, higher mitral E/e′ ratio, poorer quality of life, and worse outcomes, with several differences noted between HF phenotypes.
 URL: http://www.clinicaltrials.gov. Unique identifier: NCT01633398.",2019 Aug 21,"Association of Diabetes Mellitus on Cardiac Remodeling, Quality of Life, and Clinical Outcomes in Heart Failure With Reduced and Preserved Ejection Fraction",Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease
166,PMC8565009,"This study aimed to explore the association between diabetes mellitus and health-related quality of life (HRQoL) of older people in Shanghai, China, especially regarding the differences in each aspect of the EQ-5D and how large the score gaps are between older people with and without diabetes.
A total of 11,103 people of either sex older than 60 years were enrolled from 17 districts of Shanghai. The EQ-5D-3L was used to assess the HRQoL of older people. The Wilcoxon rank sum test and t-test were used to compare the difference in HRQoL between people with or without diabetes. After univariate regression, multiple linear regression and ordinal logistic regression were conducted to evaluate the influence of diabetes mellitus and other confounding variables on the EQ VAS scores and on the five dimensions of the EQ-5D.
Twelve percent of all participants had diabetes mellitus, and the proportion was almost the same between men and women. The EQ VAS scores of people with diabetes mellitus were approximately 3.70 points lower than those of people without diabetes (95% CI = -4.40,  -2.99, p < 0.001) after adjusting for confounding variables. People with diabetes mellitus had increased problems with mobility (OR = 1.57, 95% CI = 1.33, 1.85), self-care (OR = 1.65, 95% CI = 1.35, 2.01), usual activities (OR = 1.78, 95% CI = 1.51, 2.11), pain/discomfort (OR = 1.42, 95% CI = 1.24, 1.64), and anxiety/depression (OR = 1.33, 95% CI = 1.07, 1.64).
This study showed that diabetes mellitus was associated with the HRQoL of older people and that older people with diabetes had poorer performance in every aspect of EQ-5D measurements.",2021 Nov 3,The association between diabetes mellitus and HRQoL of older people in Shanghai,BMC Geriatrics
167,PMC4401105,"The water deprivation test is the gold standard test to differentiate central or nephrogenic diabetes insipidus (DI) from primary polydipsia (PP) in patients with polyuria and polydipsia. Few studies have addressed the diagnostic performance of this test. The aim of this retrospective cohort study was to evaluate the diagnostic performance of the standard water deprivation test, including plasma arginine vasopressin (AVP) measurements, in 40 consecutive patients with polyuria. We compared initial test results with the final clinical diagnosis, i.e., no DI, central DI, or nephrogenic DI. The median length of follow-up was 8 years. In a subset of ten patients, the novel marker copeptin (CP) was measured in plasma. Using the final diagnosis as a gold standard, a threshold for urine osmolality of >800 mOsmol/kg after water deprivation yielded a sensitivity and specificity of 96 and 100%, respectively, for diagnosing PP. Sensitivity increased to 100% if the cut-off value for urine osmolality was set at 680 mOsmol/kg. Plasma AVP levels did not differ between patient groups and did not differentiate among central DI, nephrogenic DI, or PP. In all three patients with central DI, plasma CP was <2.5 pmol/l with plasma osmolality >290 mOsmol/kg, and >2.5 pmol/l in patients without DI. The optimal cut-off value for differentiating PP from DI during a water deprivation test was urine osmolality >680 mOsmol/kg. Differentiating between central and nephrogenic DI should be based on clinical judgment as AVP levels did not discriminate.",2015 Feb 23,The water deprivation test and a potential role for the arginine vasopressin precursor copeptin to differentiate diabetes insipidus from primary polydipsia,Endocrine Connections
168,PMC6439528,"Diabetes mellitus (DM) is associated with several microvascular and macrovascular complications, such as retinopathy, nephropathy, neuropathy, and cardiovascular diseases. The pathogenesis of these complications is complex, and involves metabolic and hemodynamic disturbances, including hyperglycemia, insulin resistance, dyslipidemia, hypertension, and immune dysfunction. These disturbances initiate several damaging processes, such as increased reactive oxygen species (ROS) production, inflammation, and ischemia. These processes mainly exert their damaging effect on endothelial and nerve cells, hence the susceptibility of densely vascularized and innervated sites, such as the eyes, kidneys, and nerves. Since the oral cavity is also highly vascularized and innervated, oral complications can be expected as well. The relationship between DM and oral diseases has received considerable attention in the past few decades. However, most studies only focus on periodontitis, and still approach DM from the limited perspective of elevated blood glucose levels only. In this review, we will assess other potential oral complications as well, including: dental caries, dry mouth, oral mucosal lesions, oral cancer, taste disturbances, temporomandibular disorders, burning mouth syndrome, apical periodontitis, and peri-implant diseases. Each oral complication will be briefly introduced, followed by an assessment of the literature studying epidemiological associations with DM. We will also elaborate on pathogenic mechanisms that might explain associations between DM and oral complications. To do so, we aim to expand our perspective of DM by not only considering elevated blood glucose levels, but also including literature about the other important pathogenic mechanisms, such as insulin resistance, dyslipidemia, hypertension, and immune dysfunction.",2019 Feb 18,Evaluating All Potential Oral Complications of Diabetes Mellitus,Frontiers in Endocrinology
169,PMC7496405,"Comparing people with Type 2 diabetes mellitus with and without heart failure in terms of metabolic control, therapeutic regimen and comorbidities.
The Prospective Diabetes Registry (DPV) is a longitudinal documentation system for demographics, medical care and outcome in people with diabetes mellitus. It consists of follow‐up data from people with diabetes mellitus who have agreed to be recorded in the registry. Clinical data are submitted by general practitioners, specialists and clinics throughout Germany and Austria. Some 289 954 people with Type 2 diabetes mellitus (years 2000 to 2015) were analysed using demographic statistics and adjustment for confounders based on linear and logistic regression analysis.
People with Type 2 diabetes mellitus (ICD code: E11) and heart failure (ICD code: I50) (N = 14 723) were older, more often women and presented with longer diabetes duration compared with those without heart failure. After adjustment for age, gender and diabetes duration, people with heart failure showed lower HbA1c, higher BMI and more intense insulin therapy. Analysis revealed that people with heart failure were more often treated with insulin, and more frequently received anti‐hypertensives and lipid‐lowering medication. They presented with lower systolic and diastolic BP. People with heart failure more frequently showed a history of comorbidities.
Heart failure is common in diabetes mellitus, but the prevalence in the DPV is lower frequent than expected. The reason for improved metabolic control in heart failure may be intensified therapy with insulin, lipid‐lowering medication and anti‐hypertensives in this cohort.
Heart failure is a common comorbidity of diabetes mellitus. Prevalence data from intervention studies do not represent real‐world data because the people in studies are often pre‐specified with relation to several underlying diseases. For Germany, data on heart failure prevalence among people with Type 2 diabetes mellitus from large representative cohorts are currently unavailable. Data on diabetes treatment and therapeutic regimens regarding other comorbidities in people with Type 2 diabetes and heart failure are rare.
The Prospective Diabetes Registry (DPV) delivers data from nearly 290 000 people with Type 2 diabetes in specialized diabetes care and thus represents real‐world data.
The DPV provides data on clinical situation, diabetes treatment and therapeutic regimens regarding other comorbidities in people with Type 2 diabetes and heart failure from all over Germany.
The DPV is commonly used to document the real‐world treatment of people with diabetes and either heart failure or other comorbidities. The DPV clearly shows insufficient treatment of dyslipidaemia in people with diabetes and heart failure.",2019 Feb 27,Heart failure among people with Type 2 diabetes mellitus: real‐world data of 289 954 people from a diabetes database,Diabetic Medicine
170,PMC4497633,"In August 2011, the World Health Organization and the International Union Against Tuberculosis and Lung Disease launched the Collaborative Framework for Care and Control of Tuberculosis (TB) and diabetes mellitus (DM) to guide policy makers and implementers in combatting the epidemics of both diseases. Progress has been made, and includes identifying how best to undertake bidirectional screening for both diseases, how to provide optimal treatment and care for patients with dual disease and the most suitable framework for monitoring and evaluation. Key programmatic challenges include the following: whether screening should be directed at all patients or targeted at those with high-risk characteristics; the most suitable technologies for diagnosing TB and diabetes in routine settings; the best time to screen TB patients for DM; how to provide an integrated, coordinated approach to case management; and finally, how to persuade non-communicable disease programmes to adopt a cohort analysis approach, preferably using electronic medical records, for monitoring and evaluation. The link between DM and TB and the implementation of the collaborative framework for care and control have the potential to stimulate and strengthen the scale-up of non-communicable disease care and prevention programmes, which may help in reducing not only the global burden of DM but also the global burden of TB.",2015 Aug,Diabetes mellitus and tuberculosis: programmatic management issues,The International Journal of Tuberculosis and Lung Disease
171,PMC8804633,"Diabetes and related metabolic disorders such as obesity and cardiovascular diseases (CVD) are a growing global issue. Equipping individuals with the necessary ‘knowledge, skills and confidence to self-manage their health’ (ie, patient activation (PAct)) may lead to improvements in health outcomes. It is unclear whether existing evidence allows us to assume a causal relationship. We aim to synthesise and critically appraise evidence on the relationship between PAct and self-management behaviours and clinical outcomes of people living with diabetes and related metabolic disorders.
The protocol is based on guidance on Preferred Reporting Items for Systematic Review and Meta-analysis Protocols. We will search Medline, Embase, CENTRAL, PsycInfo, Web of Science and CINAHL using search terms related to PAct, diabetes, pre-diabetes, obesity and CVD. Any quantitative study design is eligible provided studies assess the association between PAct and clinical outcomes and/or self-management behaviours of diabetes and related metabolic disorders. Outcomes include behavioural (eg, diet) and clinical (eg, blood pressure) outcomes. Two reviewers will independently screen titles/abstracts and full texts and assess risk of bias using the revised Cochrane risk-of-bias tool for randomised trials or the Risk of Bias Assessment Tool for Nonrandomised Studies (RoBANS).
One reviewer will extract data, with independent checking by a second reviewer. We will critically assess the level of evidence available for assuming a causal association between PAct and outcomes. Data permitting, we will use the Hunter-Schmidt random-effects method to meta-analyse correlations across studies.
Ethical approval is not required. The review will be disseminated in the form of a peer-reviewed journal article, at conferences and other presentations. The findings of the review will be of interest to clinical commissioning groups, policymakers and intervention deliverers/developers.
CRD42021230727.",2022 Jan 31,"Association between patient activation, self-management behaviours and clinical outcomes in adults with diabetes or related metabolic disorders: a systematic review and meta-analysis protocol",BMJ Open
172,PMC8101261,"The notion that in diabetes pancreatic β-cells express endoplasmic reticulum (ER) stress markers indicative of increased unfolded protein response (UPR) signaling is no longer in doubt. However, what remains controversial is whether this increase in ER stress response actually contributes importantly to the β-cell failure of type 2 diabetes (akin to ‘terminal UPR’), or whether it represents a coping mechanism that represents the best attempt of β-cells to adapt to changes in metabolic demands as presented by disease progression. Here an intercontinental group of experts review evidence for the role of ER stress in monogenic and type 2 diabetes in an attempt to reconcile these disparate views. Current evidence implies that pancreatic β-cells require a regulated UPR for their development, function and survival, as well as to maintain cellular homeostasis in response to protein misfolding stress. Prolonged ER stress signaling, however, can be detrimental to β-cells, highlighting the importance of “optimal” UPR for ER homeostasis, β-cell function and survival.",2021 Apr 22,Pathological β-Cell Endoplasmic Reticulum Stress in Type 2 Diabetes: Current Evidence,Frontiers in Endocrinology
173,PMC6626957,"An elevated heart rate has been reported to be associated with an increased incidence of type 2 diabetes mellitus. We investigated whether heart rate independently and interactively with body mass index or blood pressure was associated with the incidence of type 2 diabetes mellitus in a rural Chinese population.
We measured the association between heart rate and type 2 diabetes mellitus in the Tongxiang China Kadoorie Biobank prospective cohort study using Cox proportional hazard models. Analyses included 53,817 participants without any history of diabetes, cancer, cardiovascular or rheumatic heart disease at baseline. Incident type 2 diabetes mellitus cases were identified through linkage with established Disease Registries and the China National Health Insurance System.
After a mean follow‐up period of 6.9 years, 1,766 people had developed type 2 diabetes mellitus with an incidence of 4.75 per 1,000 person‐years. Multivariable‐adjusted hazard ratios and for type 2 diabetes mellitus across increasing quintiles of heart rate were 1.00 (reference), 1.24 (95% confidence interval [CI] 1.05–1.45), 1.21 (95% CI 1.03–1.41), 1.24 (95% CI 1.05–1.47) and 1.49 (95% CI 1.28–1.74), respectively, with a P trend <0.001. This relationship was particularly evident among non‐overweight/obese participants. A significant interaction between heart rate and body mass index on incident type 2 diabetes mellitus was observed with a P for interaction = 0.005.
Elevated heart rate is independently, in interaction with a higher body mass index, associated with a higher incidence of type 2 diabetes mellitus.",2019 Feb 8,Independent and interactive associations of heart rate and body mass index or blood pressure with type 2 diabetes mellitus incidence: A prospective cohort study,Journal of Diabetes Investigation
174,PMC7670377,"Patients affected with congenital nephrogenic diabetes insipidus (CNDI) have reduced ability to concentrate urine. Early diagnosis of CNDI is important to avoid recurrent episodes of severe dehydration. We present a Danish male suffering from typical symptoms and diagnosed with CNDI at the age of 7 months. Gene sequencing of this proband and his mother revealed a novel variant in the gene encoding the antidiuretic hormone receptor (AVPR2). The variant is a deletion of nucleotide c.151 in exon 2 of AVPR2 (GenBank NM_000054.4:c.151del). This 1bp deletion is predicted to cause a frameshift that results in tryptophan replacing valine at position 51 in AVPR2 and a premature stop codon three codons downstream (p.Val51Trpfs*3) likely resulting in faulty expression of the receptor. Identification of disease-causing variants such as the one described here contributes to precise diagnosis, especially in carriers and newborns, thus preventing the long-term physical and intellectual disability observed in some CNDI-patients.",2020 Oct 14,Novel Variant of AVPR2 Giving Rise to X-Linked Congenital Nephrogenic Diabetes Insipidus in a 7-Month-Old Danish Boy,Case Reports in Nephrology and Dialysis
175,PMC5484303,"To establish the relationship between the presence of type 1 diabetes mellitus (DM) and auditory dysfunction in clinical settings by a systematic review and meta‐analysis of currently available published data.
The electronic databases PubMed, Embase, and Wanfang Data were searched for eligible relevant studies up to May 2016, and the reference lists of the retrieved articles were used for additional manual search. All the articles included in this pooled analysis were determined according to the preset inclusion and exclusion criteria. Meta‐analysis of pooled data was performed using Review Manager 5.3.
A total of 15 studies were included for further combined analysis. The results showed that patients with type 1 diabetes had a significantly higher prevalence of hearing loss than controls (odds ratio = 49.08, 95% confidence interval = 12.03–200.31, P < 0.00001); standardized mean of differences (SMD) of pure tone audiometry at 4,000 Hz between diabetes and controls was 0.87 (Z = 2.22, P = 0.03, I2 = 95%); SMD of the latency time was 0.54 (Z = 2.69, P = 0.007, I2 = 78%) for waves III and 0.61 (Z = 2.38, P = 0.02, I2 = 86%) for wave V, respectively; and SMD of the interpeak latency time was 0.41 (Z = 2.84, P = 0.005, I2 = 39%) for waves I to III and 0.61 (Z = 2.67, P = 0.008, I2 = 81%) for waves I to V, respectively, between diabetics and controls.
Our study reveals that there is relationship between the presence of type 1 DM and an increased risk for developing mild and subclinical hearing impairment.
NA. Laryngoscope, 127:1689–1697, 2017",2016 Oct 7,An association of type 1 diabetes mellitus with auditory dysfunction: A systematic review and meta‐analysis,The Laryngoscope
176,PMC4998534,"Hypophysitis is an inflammatory disorder of the pituitary gland and corticosteroids are usually recommended as the first-line treatment. Hypophysitis related to primary Sjögren syndrome (pSS) is uncommon. We describe the unusual case of a patient with infundibuloneurohypophysitis associated with pSS successfully treated with mycophenolate mofetil (MMF).
We describe a case of a 60-year-old man with a medical history of pSS presented with central diabetes insipidus and panhypopituitarism. Magnetic resonance imaging (MRI) revealed a thickening of the pituitary stalk and intense enhancement of the posterior pituitary, pituitary stalk, and hypothalamus. We diagnosed infundibuloneurohypophysitis associated with pSS. Hormonal replacement was started immediately and MMF was introduced without corticosteroids.
After 9 months of treatment, MRI of the pituitary revealed a complete regression of the nodular thickening of the pituitary stalk, with normal enhancement and appearance of the pituitary. The pituitary axes had completely recovered, whereas the diabetes insipidus was partially restored.
Our findings suggest that MMF is an effective alternative to corticosteroids for the treatment of lymphocytic hypophysitis associated with an autoimmune disease. Furthermore, this report could contribute to extend the spectrum of the neurological and endocrinological manifestations of pSS.",2016 Apr 1,Infundibuloneurohypophysitis Associated With Sjögren Syndrome Successfully Treated With Mycophenolate Mofetil: A Case Report,Medicine
177,PMC7151172,"The purpose of this study was to investigate the knowledge, perceptions and concerns of individuals living with diabetes mellitus regarding the disorder and its associated long-term health complications. Individuals living with type 1 (N = 110) and type 2 (N = 100) diabetes were surveyed at the Diabetes Centre at University Hospital Galway (Ireland). A questionnaire was used to record respondent’s perceptions and concerns about living with diabetes and developing associated long-term health complications, especially diabetes-induced osteopathy. Participants’ responses revealed a variety of perspectives. Individuals with type 1 diabetes had a deeper understanding of the aetiology of diabetes and were more concerned about its complications than individuals with type 2 diabetes. The most recognized complications identified by the participants were retinopathy (92% type 1; 83% type 2), amputations (80% type 1; 70% type 2) and nephropathy (83% type 1; 63% type 2). Diabetes-related osteopathy was under-recognized, with 37% (type 1) and 23% (type 2) of respondents identifying bone fractures as a diabetes-related complication. Enhancing the patient awareness of this under-recognized diabetes-associated complication and ensuring that preventative measures are incorporated within health care programmes may offer methodologies to address this complication clinically.",2020 Jan 30,"Knowledge, Perceptions and Concerns of Diabetes-Associated Complications among Individuals Living with Type 1 and Type 2 Diabetes Mellitus",Healthcare
178,PMC6651977,"Wolfram syndrome (WS), a rare genetic disorder, is considered the best prototype of endoplasmic reticulum (ER) diseases. Classical WS features are childhood-onset diabetes mellitus, optic atrophy, deafness, diabetes insipidus, neurological signs, and other abnormalities. Two causative genes (WFS1 and WFS2) have been identified. The transmission of the disease takes place in an autosomal recessive mode but autosomal dominant mutations responsible for WS-related disorders have been described. Prognosis is poor, death occurs at the median age of 39 years with a major cause represented by respiratory failure as a consequence of brain stem atrophy and neurodegeneration. The aim of this narrative review is to focus on etiology, pathogenesis and natural history of WS for an adequate patient management and for the discussion of future therapeutic interventions.
WS requires a multidisciplinary approach in order to be successfully treated. A prompt diagnosis decreases morbidity and mortality through prevention and treatment of complications. Being a monogenic pathology, WS represents a perfect model to study the mechanisms of ER stress and how this condition leads to cell death, in comparison with other prevalent diseases in which multiple factors interact to produce the disease manifestations. WS is also an important disease prototype to identify drugs and molecules associated with ER homeostasis. Evidence indicates that specific metabolic diseases (type 1 and type 2 diabetes), neurodegenerative diseases, atherosclerosis, inflammatory pathologies and also cancer are closely related to ER dysfunction.
Therapeutic strategies in WS are based on drug repurposing (i.e., investigation of approved drugs for novel therapeutic indications) with the aim to stop the progression of the disease by reducing the endoplasmic reticulum stress. An extensive understanding of WS from pathophysiology to therapy is fundamental and more studies are necessary to better manage this devastating disease and guarantee the patients a better quality of life and longer life expectancy.",2019 Jul 23,"Wolfram syndrome, a rare neurodegenerative disease: from pathogenesis to future treatment perspectives",Journal of Translational Medicine
179,PMC4800914,"To review the incidence, spectrum of clinical manifestation, course, risk factors, as well as treatment of diabetes insipidus (DI) following neurosurgery of the pituitary gland.
The files of 24 patients that underwent neurosurgery for sellar lesions, or tumor near the hypothalamus or pituitary gland at the Department of Neurosurgery, King Abdulaziz University Hospital, Jeddah, Kingdom of Saudi Arabia were retrospectively reviewed between January 2011 to December 2014. A total of 24 patients were studied, and were divided into 2 groups namely; DI and non-DI. Patient characteristics were studied using descriptive statistics. The differences in proportion between the 2 groups were found out using Z-test for proportion in 2 populations. The mean differences in the hormonal abnormalities for the 2 groups were assessed using independent t-test. All statistics are considered statistically significant when p<0.05.
During hospitalization, 13 (54.2%) out of 24 patient that underwent neurosurgery had manifestations of DI, which was transient in 5 (38.8%) and permanent in 8 (61.2%). The DI subgroup contained higher prevalence of prolactinoma, craniopharyngioma, pre-operative panhypopituitarism, and macroadenoma in MRI imaging and transphenoidal surgery. Furthermore, urine osmolality was significantly lower in the DI group post-operatively with a significant p=0.023. It was recognized that the permanent DI documented more significant numbers than other studies.
In our study group, it was recognized that permanent DI meant that our patients needed desmopressin for more than 3 months, which documented a more significant number than other studies.",2016 Feb,Diabetes insipidus following neurosurgery at a university hospital in Western Saudi Arabia,Saudi Medical Journal
180,PMC4490503,"Understanding pathophysiology and identifying mothers at risk of major pregnancy complications is vital to effective prevention and optimal management. However, in current antenatal care, understanding of pathophysiology of complications is limited. In gestational diabetes mellitus (GDM), risk prediction is mostly based on maternal history and clinical risk factors and may not optimally identify high risk pregnancies. Hence, universal screening is widely recommended. Here, we will explore the literature on GDM and biomarkers including inflammatory markers, adipokines, endothelial function and lipids to advance understanding of pathophysiology and explore risk prediction, with a goal to guide prevention and treatment of GDM.",2015 Jun 11,Inflammatory and Other Biomarkers: Role in Pathophysiology and Prediction of Gestational Diabetes Mellitus,International Journal of Molecular Sciences
181,PMC5669153,"The concept of ideal cardiovascular health (CVH), defined by the American Heart Association primarily for coronary heart disease and stroke prevention, may apply to diabetes mellitus prevention among blacks.
Our sample included 2668 adults in the Jackson Heart Study with complete baseline data on 6 of 7 American Heart Association CVH metrics (body mass index, healthy diet, smoking, total cholesterol, blood pressure, and physical activity). Incident diabetes mellitus was defined as fasting glucose ≥126 mg/dL, physician diagnosis, use of diabetes mellitus drugs, or glycosylated hemoglobin ≥6.5%. A summary CVH score from 0 to 6, based on presence/absence of ideal CVH metrics, was derived for each participant. Cox regression was used to estimate adjusted hazard ratios. Mean age was 55 years (65% women) with 492 incident diabetes mellitus events over 7.6 years (24.6 cases/1000 person‐years). Three quarters of participants had only 1 or 2 ideal CVH metrics; no participant had all 6. After adjustment for demographic factors (age, sex, education, and income) and high‐sensitivity C‐reactive protein, each additional ideal CVH metric was associated with a 17% diabetes mellitus risk reduction (hazard ratio, 0.83; 95% CI, 0.74–0.93). The association was attenuated with further adjustment for homeostasis model assessment for insulin resistance (hazard ratio, 0.89; 95% CI, 0.79–1.00). Compared with participants with 1 or no ideal CVH metric, diabetes mellitus risk was 15% and 37% lower in those with 2 and ≥3 ideal CVH metrics, respectively.
The AHA concept of ideal CVH is applicable to diabetes mellitus prevention among blacks. These associations were largely explained by insulin resistance.",2017 Jun 21,The American Heart Association Ideal Cardiovascular Health and Incident Type 2 Diabetes Mellitus Among Blacks: The Jackson Heart Study,Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease
